"","F4_GI_1","F4_GI_2","F4_GI_3","F4_GI_4","F4_HG_1","F4_HG_2","F4_HG_3","F4_STOM","F5_GI_1","F5_GI_2","F5_GI_3","F5_GI_4","F5_HG_1","F5_HG_2","F5_HG_3","F5_STOM","F6_GI_1","F6_GI_4","F6_HG_1","F6_HG_2","F6_HG_3","F7_GI_2","F7_GI_3","F7_GI_4","F7_HG_1","F7_HG_2","F7_HG_3","F7_STOM","F8_GI_1","F8_GI_2","F8_GI_4","F8_HG_1","F8_HG_2","F8_HG_3","F8_STOM"
"8",-0.0333891219051607,0.338729930967633,0.241391591543227,-0.731160456822252,-0.68307114130068,-0.707304437797411,-0.629984213818269,-0.411280787585925,-0.257858667726631,-0.667340797078738,-0.713863977701001,-0.649581605845358,-0.603579124716623,-0.624849977156404,-0.504126505672453,-0.394333649838907,0.440363288838542,-0.662737209786282,-0.530203752922843,-0.542469809986012,-0.500355084670718,-0.294792962889288,-0.181632891370217,0.427336205620987,0.108941187718837,-0.646064794340261,-0.700768165864812,-0.374333555724361,-0.237822856136038,0.161695991990551,-0.720914073669311,-0.562599667864079,-0.509478176054185,-0.491631967722431,-0.420483236460867
"23",-0.119727100326029,1.57391797431983,2.09292378988186,3.02060648374229,3.07363594633813,3.39180241468086,3.58637749636697,-0.411280787585925,-0.487128914214715,2.05114366580872,1.37240339237337,1.84230584254534,2.9249077857619,3.18481373735406,3.28414641869242,0.718984804295439,1.15309468615213,0.0213500703965381,2.69732536378883,2.67714045449111,2.22796385084709,-0.562563522863043,-0.114690956221123,0.119048537421173,1.11825001981908,1.59510984848128,1.5641615776452,1.05492034307086,0.899658379970902,1.10447953525922,3.20668311659098,3.23229946028059,1.40045196538741,1.96606784757976,-0.420483236460867
"25",-0.821755848752037,-0.733481900021906,-0.790627753503244,-0.731160456822252,0.589392992673734,0.284690572877562,0.828513105837299,-0.411280787585925,-0.694314963969312,-0.667340797078738,-0.713863977701001,-0.649581605845358,1.85374069057589,2.3169146660805,2.21592856573617,-0.394333649838907,1.27254012226504,1.80882093351126,3.11367329673474,1.19071044720162,1.31947401304665,-0.758640117417196,-0.528754923676746,-0.172498052402161,0.426412900199873,1.18230908251668,1.41416512817431,-0.374333555724361,-0.787887890235552,-0.757669631024462,0.0616157921184315,1.05030193814925,1.66093000455788,1.3277610621045,-0.420483236460867
"30",3.15897788035497,1.98668585777792,3.15300295922003,0.438774427971631,2.05139596413422,2.35656826613563,1.65160335672365,1.83749159500424,3.47235454077068,3.09575265971424,3.72871716621432,2.74316888706835,2.09177006530123,2.3205764943968,2.89878983852847,0.553260400999547,3.35308241397623,2.415685133271,1.48651581406496,1.38871270521017,1.64841097431518,3.62894172139205,3.39975996245958,4.03739608775754,4.06069079695953,4.11585736503777,3.88534765362153,5.46902225413848,3.31091911950339,3.31427286678028,3.30941396428818,2.36382394430828,1.69057639444854,2.01515459222613,2.59151303648598
"68",0.799008522204851,-0.329134238590482,-0.142213586388479,0.597356145779097,2.93205642229769,3.39530979619276,3.28711857128759,7.32787906355435,2.82157763258103,-0.667340797078738,-0.713863977701001,2.19855622152095,5.01003488499918,4.44990055585292,4.64244316013548,6.13839076247332,-0.659453391562235,-0.662737209786282,-0.530203752922843,-0.542469809986012,-0.500355084670718,-0.758640117417196,-0.807651312530737,-0.109638072497182,-0.0689276986656802,-0.646064794340261,-0.700768165864812,1.511286645121,0.256994724193888,-0.757669631024462,-0.720914073669311,-0.562599667864079,-0.509478176054185,0.958508087622261,3.06795301918223
"83",3.11863531197126,1.65999476376833,2.63920011334697,3.18990179037579,1.36192385365762,1.35923876729983,0.912248979371916,1.44699217494331,3.19133153770873,2.37652530225588,2.88389727529212,2.06480802200702,1.32361528949105,1.3883901877154,1.82094618040855,1.50456686202457,2.36919227431324,1.74492506878489,1.1369412574171,1.05292513640816,1.338953766533,3.02053458870607,2.97370549893723,3.2743914336665,3.24526020717838,3.1752329612282,2.95949294027653,4.32278103894443,2.98948986410278,2.83214534495526,2.41146929079948,1.5814822402666,1.07074636368074,1.30972070117399,1.75577963455575
"87",2.23286897620157,0.0586946047657623,2.08348456707179,2.27102597910822,0.00320966558402094,1.57469521800669,-0.629984213818269,1.35909463533592,2.10206960103394,1.80280552385672,2.40137217242537,2.51812278572473,1.39499689158825,-0.624849977156404,-0.504126505672453,-0.394333649838907,2.03025428468157,-0.662737209786282,-0.0314776150125795,1.04739781211824,1.24061552254791,2.40127086532045,2.36629970582785,2.64825102388334,2.6058286891156,2.26414915584667,2.25699227816537,-0.374333555724361,2.39098649837511,2.28479975597805,2.16182095914511,-0.562599667864079,0.13068137584108,1.34101277993378,-0.420483236460867
"90",-0.821755848752037,-0.733481900021906,-0.790627753503244,-0.731160456822252,1.31457391761907,1.14773607127156,1.20358154713171,0.671392463836275,-0.0934250533572552,-0.667340797078738,-0.713863977701001,-0.649581605845358,1.52484953140438,1.48062229959502,1.38221786350437,0.636586097036373,-0.659453391562235,0.676902346222073,1.43520309375793,1.90363199940865,2.23890131039039,-0.758640117417196,-0.481081895449386,-0.80415941247154,-0.564701638263581,0.430005431233906,0.529993079395776,-0.374333555724361,-0.787887890235552,-0.757669631024462,-0.720914073669311,0.979764856791995,0.457004829993301,1.17320968509061,1.91926011687299
"91",1.20819062454851,-0.116195274045469,0.0132948341803784,1.28613454076303,-0.68307114130068,0.776917187932996,-0.629984213818269,-0.411280787585925,1.0305709250062,-0.126609619612558,-0.05973089541135,-0.649581605845358,-0.603579124716623,-0.624849977156404,-0.504126505672453,-0.394333649838907,-0.35799689219164,-0.662737209786282,-0.530203752922843,-0.542469809986012,-0.500355084670718,1.20793214786146,1.20664333239759,1.46134163821472,0.26771437097837,-0.269036441587984,1.24070844646994,-0.374333555724361,1.12507491922868,1.17789569961844,1.16736553925002,-0.562599667864079,-0.509478176054185,-0.491631967722431,-0.420483236460867
"95",-0.821755848752037,-0.733481900021906,-0.790627753503244,-0.168924734899447,2.49788066395249,2.02985579848041,2.18748147979904,-0.411280787585925,-0.694314963969312,-0.667340797078738,-0.240302164896088,-0.649581605845358,0.939101445696561,0.641904848604574,-0.504126505672453,-0.394333649838907,-0.659453391562235,1.46413500337457,1.66614858643197,2.81309375344676,3.20533661306555,-0.275525825847797,-0.205528419558908,0.317337992554538,0.120932817249614,0.56306940103642,0.439257511040637,-0.374333555724361,-0.787887890235552,-0.0537136381213604,2.07796432108589,2.6072782173833,2.69328796539707,-0.491631967722431,-0.420483236460867
