,F4_GI_1,F4_GI_2,F4_GI_3,F4_GI_4,F4_HG_1,F4_HG_2,F4_HG_3,F4_STOM,F5_GI_1,F5_GI_2,F5_GI_3,F5_GI_4,F5_HG_1,F5_HG_2,F5_HG_3,F5_STOM,F6_GI_1,F6_GI_4,F6_HG_1,F6_HG_2,F6_HG_3,F7_GI_2,F7_GI_3,F7_GI_4,F7_HG_1,F7_HG_2,F7_HG_3,F7_STOM,F8_GI_1,F8_GI_2,F8_GI_4,F8_HG_1,F8_HG_2,F8_HG_3,F8_STOM,cluster.index,CF_componentindex,CF_NrNodes,CF_kingdom,CF_kingdom_score,CF_superclass,CF_superclass_score,CF_class,CF_class_score,CF_subclass,CF_subclass_score,CF_Dparent,CF_Dparent_score,CF_MFramework,CF_MFramework_score
171,2.871917045,5.100077928,3.758745799,3.154529217,0.801442196,1.616493589,0.555239464,0.542524102,1.039349879,4.617236095,3.091784395,2.714805135,-0.603579125,1.204589064,1.294695592,-0.39433365,2.382208623,2.858985887,0.737244721,-0.54246981,-0.500355085,2.953227054,3.515097713,1.858427466,-0.564701638,-0.646064794,-0.700768166,-0.374333556,1.544592903,3.477305325,0.369526154,0.454953991,-0.509478176,-0.491631968,3.638239086,171,309,4,Organic compounds,1,Organoheterocyclic compounds,0.327380952,Steroids and steroid derivatives,0.178571429,,0.222222222,Androgens and derivatives,0.071428571,Aromatic heteropolycyclic compounds,0.382936508
172,-0.821755849,-0.7334819,-0.099231331,0.173859934,0.635227542,0.596428872,0.752831477,-0.411280788,-0.694314964,-0.667340797,0.163407097,0.438797628,0.356325164,0.282786301,-0.504126506,-0.39433365,-0.659453392,-0.66273721,0.33781351,0.459346753,-0.500355085,-0.758640117,-0.174776491,-0.263218113,-0.564701638,-0.646064794,-0.700768166,-0.374333556,-0.78788789,-0.757669631,-0.137457816,-0.562599668,0.240580338,0.132500664,-0.420483236,172,95,6,Organic compounds,1,Organic acids and derivatives,0.666203704,Carboxylic acids and derivatives,0.616203704,"Amino acids, peptides, and analogues",0.616203704,Dipeptides,0.461441799,Aliphatic acyclic compounds,0.666203704
185,0.740150692,-0.003711622,0.512531156,-0.161972464,-0.683071141,-0.048810707,-0.629984214,-0.411280788,-0.325394416,-0.667340797,1.013988119,0.468394025,0.36223183,0.216416728,0.990308449,-0.39433365,0.463800962,0.412509577,0.098970659,-0.54246981,-0.500355085,0.534708199,0.743343203,0.659720342,0.98618566,0.756754491,0.753539906,-0.374333556,0.79826369,0.417466688,0.338078486,-0.562599668,-0.509478176,-0.491631968,-0.420483236,185,S80,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
191,-0.821755849,-0.7334819,-0.276357693,0.051189018,0.768891413,0.514163453,0.704470662,-0.411280788,-0.694314964,-0.667340797,0.080405379,0.468360924,0.661756827,0.642856378,-0.504126506,-0.39433365,-0.659453392,0.244503789,1.253485365,1.051757002,0.505015481,-0.758640117,-0.303805311,-0.426242804,-0.564701638,-0.646064794,-0.092654138,-0.374333556,-0.78788789,-0.757669631,-0.008075884,0.547633446,0.686321423,0.55389152,-0.420483236,191,52,20,Organic compounds,1,Organic acids and derivatives,0.501765873,Carboxylic acids and derivatives,0.461488095,"Amino acids, peptides, and analogues",0.461488095,Dipeptides,0.269186508,Aromatic heteropolycyclic compounds,0.33827381
200,-0.821755849,-0.7334819,-0.790627754,-0.731160457,2.47880226,2.219145488,2.699200094,-0.411280788,-0.694314964,-0.667340797,-0.713863978,-0.649581606,-0.603579125,-0.624849977,-0.504126506,-0.39433365,-0.659453392,4.245986127,4.15134175,3.777699452,3.665783177,-0.758640117,-0.807651313,-0.804159412,-0.564701638,2.250382045,-0.700768166,-0.374333556,-0.78788789,-0.757669631,2.470007481,4.748743097,6.867065506,6.423545354,-0.420483236,200,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
210,-0.364085929,0.24271139,0.141674491,-0.731160457,-0.683071141,-0.707304438,0.392100833,-0.411280788,-0.694314964,0.168594996,0.043537903,0.488644041,-0.603579125,-0.624849977,-0.504126506,-0.39433365,-0.659453392,0.968279176,-0.530203753,0.278172785,-0.500355085,-0.409834448,0.035742956,-0.037779461,-0.564701638,-0.646064794,-0.700768166,-0.374333556,-0.78788789,0.104360492,-0.034589299,-0.562599668,-0.509478176,-0.491631968,-0.420483236,210,S92,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
213,-0.273309519,-0.337613247,-0.790627754,-0.731160457,0.245608198,-0.032445639,0.058516454,-0.411280788,-0.307428527,-0.667340797,-0.713863978,0.076410722,-0.603579125,0.147815524,-0.504126506,-0.39433365,0.332553212,0.778727269,1.338632357,1.95247869,1.645274649,-0.216047579,0.076185988,0.590803893,0.210466147,0.698745419,0.977625298,-0.374333556,-0.261137791,-0.000864849,0.465357481,0.824181476,0.685794051,1.598002643,-0.420483236,213,S94,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
215,-0.522850278,-0.315929069,-0.235926964,0.146325669,0.349923948,0.319707584,0.382971987,-0.411280788,-0.694314964,-0.114799626,-0.317923631,0.869727024,1.482911664,1.561734744,1.347763111,-0.39433365,-0.659453392,-0.66273721,-0.530203753,-0.54246981,-0.500355085,-0.758640117,-0.807651313,-0.804159412,-0.564701638,-0.646064794,-0.700768166,-0.374333556,-0.78788789,-0.757669631,0.042782181,0.315444832,0.147493567,-0.491631968,-0.420483236,215,S96,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
220,-0.821755849,-0.7334819,-0.790627754,-0.731160457,1.402379444,0.604373792,1.428348798,-0.411280788,-0.694314964,-0.667340797,-0.713863978,-0.649581606,1.520308356,1.797127677,0.726518147,-0.39433365,-0.245312892,0.378686691,1.250957308,1.690957757,2.164174072,-0.758640117,-0.807651313,-0.804159412,-0.564701638,-0.646064794,-0.700768166,-0.374333556,-0.78788789,-0.757669631,0.187190016,0.67562516,0.867044418,0.739350296,-0.420483236,220,S99,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
233,-0.821755849,-0.7334819,-0.790627754,-0.731160457,0.211366251,0.358834244,-0.629984214,-0.411280788,-0.694314964,-0.667340797,-0.713863978,-0.649581606,0.359707553,0.371727581,-0.504126506,-0.39433365,-0.659453392,-0.66273721,-0.530203753,-0.54246981,-0.500355085,-0.758640117,-0.807651313,-0.804159412,-0.564701638,0.529570186,0.886578826,-0.374333556,-0.168951321,-0.757669631,-0.720914074,0.403750916,0.49023794,-0.491631968,-0.420483236,233,S107,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
