cluster index,CF_componentindex,CF_NrNodes,CF_kingdom,CF_kingdom_score,CF_superclass,CF_superclass_score,CF_class,CF_class_score,CF_subclass,CF_subclass_score,CF_Dparent,CF_Dparent_score,CF_MFramework,CF_MFramework_score
147,S71,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
152,S72,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
156,74,4,Organic compounds,1,Lipids and lipid-like molecules,0.8,Glycerolipids,0.34375,Triradylcglycerols,0.34375,Triacylglycerols,0.34375,Aliphatic acyclic compounds,0.46875
186,74,4,Organic compounds,1,Lipids and lipid-like molecules,0.8,Glycerolipids,0.34375,Triradylcglycerols,0.34375,Triacylglycerols,0.34375,Aliphatic acyclic compounds,0.46875
1711,74,4,Organic compounds,1,Lipids and lipid-like molecules,0.8,Glycerolipids,0.34375,Triradylcglycerols,0.34375,Triacylglycerols,0.34375,Aliphatic acyclic compounds,0.46875
1712,74,4,Organic compounds,1,Lipids and lipid-like molecules,0.8,Glycerolipids,0.34375,Triradylcglycerols,0.34375,Triacylglycerols,0.34375,Aliphatic acyclic compounds,0.46875
157,S73,1,Organic compounds,1,Lipids and lipid-like molecules,1,Fatty Acyls,1,Eicosanoids,1,Lipoxins,1,Aliphatic acyclic compounds,1
160,S74,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
166,S75,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
167,S76,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
168,86,10,Organic compounds,1,Lipids and lipid-like molecules,0.656547619,Glycerophospholipids,0.257142857,Glycerophosphocholines,0.257142857,Monoalkylglycerophosphocholines,0.216865079,Aliphatic acyclic compounds,0.282142857
487,86,10,Organic compounds,1,Lipids and lipid-like molecules,0.656547619,Glycerophospholipids,0.257142857,Glycerophosphocholines,0.257142857,Monoalkylglycerophosphocholines,0.216865079,Aliphatic acyclic compounds,0.282142857
518,86,10,Organic compounds,1,Lipids and lipid-like molecules,0.656547619,Glycerophospholipids,0.257142857,Glycerophosphocholines,0.257142857,Monoalkylglycerophosphocholines,0.216865079,Aliphatic acyclic compounds,0.282142857
522,86,10,Organic compounds,1,Lipids and lipid-like molecules,0.656547619,Glycerophospholipids,0.257142857,Glycerophosphocholines,0.257142857,Monoalkylglycerophosphocholines,0.216865079,Aliphatic acyclic compounds,0.282142857
542,86,10,Organic compounds,1,Lipids and lipid-like molecules,0.656547619,Glycerophospholipids,0.257142857,Glycerophosphocholines,0.257142857,Monoalkylglycerophosphocholines,0.216865079,Aliphatic acyclic compounds,0.282142857
574,86,10,Organic compounds,1,Lipids and lipid-like molecules,0.656547619,Glycerophospholipids,0.257142857,Glycerophosphocholines,0.257142857,Monoalkylglycerophosphocholines,0.216865079,Aliphatic acyclic compounds,0.282142857
587,86,10,Organic compounds,1,Lipids and lipid-like molecules,0.656547619,Glycerophospholipids,0.257142857,Glycerophosphocholines,0.257142857,Monoalkylglycerophosphocholines,0.216865079,Aliphatic acyclic compounds,0.282142857
690,86,10,Organic compounds,1,Lipids and lipid-like molecules,0.656547619,Glycerophospholipids,0.257142857,Glycerophosphocholines,0.257142857,Monoalkylglycerophosphocholines,0.216865079,Aliphatic acyclic compounds,0.282142857
1104,86,10,Organic compounds,1,Lipids and lipid-like molecules,0.656547619,Glycerophospholipids,0.257142857,Glycerophosphocholines,0.257142857,Monoalkylglycerophosphocholines,0.216865079,Aliphatic acyclic compounds,0.282142857
1292,86,10,Organic compounds,1,Lipids and lipid-like molecules,0.656547619,Glycerophospholipids,0.257142857,Glycerophosphocholines,0.257142857,Monoalkylglycerophosphocholines,0.216865079,Aliphatic acyclic compounds,0.282142857
169,83,6,Organic compounds,1,Organic oxygen compounds,0.5,Organooxygen compounds,0.5,Carbohydrates and carbohydrate conjugates,0.5,C-glycosyl compounds,0.5,Aliphatic heteromonocyclic compounds,0.5
818,83,6,Organic compounds,1,Organic oxygen compounds,0.5,Organooxygen compounds,0.5,Carbohydrates and carbohydrate conjugates,0.5,C-glycosyl compounds,0.5,Aliphatic heteromonocyclic compounds,0.5
938,83,6,Organic compounds,1,Organic oxygen compounds,0.5,Organooxygen compounds,0.5,Carbohydrates and carbohydrate conjugates,0.5,C-glycosyl compounds,0.5,Aliphatic heteromonocyclic compounds,0.5
978,83,6,Organic compounds,1,Organic oxygen compounds,0.5,Organooxygen compounds,0.5,Carbohydrates and carbohydrate conjugates,0.5,C-glycosyl compounds,0.5,Aliphatic heteromonocyclic compounds,0.5
1616,83,6,Organic compounds,1,Organic oxygen compounds,0.5,Organooxygen compounds,0.5,Carbohydrates and carbohydrate conjugates,0.5,C-glycosyl compounds,0.5,Aliphatic heteromonocyclic compounds,0.5
1744,83,6,Organic compounds,1,Organic oxygen compounds,0.5,Organooxygen compounds,0.5,Carbohydrates and carbohydrate conjugates,0.5,C-glycosyl compounds,0.5,Aliphatic heteromonocyclic compounds,0.5
171,309,4,Organic compounds,1,Organoheterocyclic compounds,0.327380952,Steroids and steroid derivatives,0.178571429,,0.222222222,Androgens and derivatives,0.071428571,Aromatic heteropolycyclic compounds,0.382936508
306,309,4,Organic compounds,1,Organoheterocyclic compounds,0.327380952,Steroids and steroid derivatives,0.178571429,,0.222222222,Androgens and derivatives,0.071428571,Aromatic heteropolycyclic compounds,0.382936508
321,309,4,Organic compounds,1,Organoheterocyclic compounds,0.327380952,Steroids and steroid derivatives,0.178571429,,0.222222222,Androgens and derivatives,0.071428571,Aromatic heteropolycyclic compounds,0.382936508
406,309,4,Organic compounds,1,Organoheterocyclic compounds,0.327380952,Steroids and steroid derivatives,0.178571429,,0.222222222,Androgens and derivatives,0.071428571,Aromatic heteropolycyclic compounds,0.382936508
172,95,6,Organic compounds,1,Organic acids and derivatives,0.666203704,Carboxylic acids and derivatives,0.616203704,"Amino acids, peptides, and analogues",0.616203704,Dipeptides,0.461441799,Aliphatic acyclic compounds,0.666203704
176,95,6,Organic compounds,1,Organic acids and derivatives,0.666203704,Carboxylic acids and derivatives,0.616203704,"Amino acids, peptides, and analogues",0.616203704,Dipeptides,0.461441799,Aliphatic acyclic compounds,0.666203704
287,95,6,Organic compounds,1,Organic acids and derivatives,0.666203704,Carboxylic acids and derivatives,0.616203704,"Amino acids, peptides, and analogues",0.616203704,Dipeptides,0.461441799,Aliphatic acyclic compounds,0.666203704
527,95,6,Organic compounds,1,Organic acids and derivatives,0.666203704,Carboxylic acids and derivatives,0.616203704,"Amino acids, peptides, and analogues",0.616203704,Dipeptides,0.461441799,Aliphatic acyclic compounds,0.666203704
935,95,6,Organic compounds,1,Organic acids and derivatives,0.666203704,Carboxylic acids and derivatives,0.616203704,"Amino acids, peptides, and analogues",0.616203704,Dipeptides,0.461441799,Aliphatic acyclic compounds,0.666203704
2005,95,6,Organic compounds,1,Organic acids and derivatives,0.666203704,Carboxylic acids and derivatives,0.616203704,"Amino acids, peptides, and analogues",0.616203704,Dipeptides,0.461441799,Aliphatic acyclic compounds,0.666203704
173,47,5,Organic compounds,1,Organic acids and derivatives,0.344444444,Carboxylic acids and derivatives,0.344444444,"Amino acids, peptides, and analogues",0.344444444,Dipeptides,0.091666667,Aromatic heteropolycyclic compounds,0.516269841
360,47,5,Organic compounds,1,Organic acids and derivatives,0.344444444,Carboxylic acids and derivatives,0.344444444,"Amino acids, peptides, and analogues",0.344444444,Dipeptides,0.091666667,Aromatic heteropolycyclic compounds,0.516269841
371,47,5,Organic compounds,1,Organic acids and derivatives,0.344444444,Carboxylic acids and derivatives,0.344444444,"Amino acids, peptides, and analogues",0.344444444,Dipeptides,0.091666667,Aromatic heteropolycyclic compounds,0.516269841
425,47,5,Organic compounds,1,Organic acids and derivatives,0.344444444,Carboxylic acids and derivatives,0.344444444,"Amino acids, peptides, and analogues",0.344444444,Dipeptides,0.091666667,Aromatic heteropolycyclic compounds,0.516269841
1733,47,5,Organic compounds,1,Organic acids and derivatives,0.344444444,Carboxylic acids and derivatives,0.344444444,"Amino acids, peptides, and analogues",0.344444444,Dipeptides,0.091666667,Aromatic heteropolycyclic compounds,0.516269841
