cluster index,CF_componentindex,CF_NrNodes,CF_kingdom,CF_kingdom_score,CF_superclass,CF_superclass_score,CF_class,CF_class_score,CF_subclass,CF_subclass_score,CF_Dparent,CF_Dparent_score,CF_MFramework,CF_MFramework_score
256,S118,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
257,S119,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
259,S120,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
260,S121,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
262,S122,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
263,S123,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
264,S124,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
265,S125,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
269,140,3,Organic compounds,1,Lipids and lipid-like molecules,0.503703704,Steroids and steroid derivatives,0.259259259,"Bile acids, alcohols and derivatives",0.148148148,Alpha amino acid amides,0.074074074,Aliphatic acyclic compounds,0.303703704
717,140,3,Organic compounds,1,Lipids and lipid-like molecules,0.503703704,Steroids and steroid derivatives,0.259259259,"Bile acids, alcohols and derivatives",0.148148148,Alpha amino acid amides,0.074074074,Aliphatic acyclic compounds,0.303703704
1297,140,3,Organic compounds,1,Lipids and lipid-like molecules,0.503703704,Steroids and steroid derivatives,0.259259259,"Bile acids, alcohols and derivatives",0.148148148,Alpha amino acid amides,0.074074074,Aliphatic acyclic compounds,0.303703704
270,284,2,Organic compounds,1,Lipids and lipid-like molecules,1,Fatty Acyls,1,Lineolic acids and derivatives,0.5,Lineolic acids and derivatives,0.5,Aliphatic acyclic compounds,0.888888889
987,284,2,Organic compounds,1,Lipids and lipid-like molecules,1,Fatty Acyls,1,Lineolic acids and derivatives,0.5,Lineolic acids and derivatives,0.5,Aliphatic acyclic compounds,0.888888889
271,S126,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
272,235,2,Organic compounds,1,Lipids and lipid-like molecules,0.8125,Prenol lipids,0.4375,Diterpenoids,0.3125,"Gluco/mineralocorticoids, progestogins and derivatives",0.1875,Aliphatic homopolycyclic compounds,0.625
1980,235,2,Organic compounds,1,Lipids and lipid-like molecules,0.8125,Prenol lipids,0.4375,Diterpenoids,0.3125,"Gluco/mineralocorticoids, progestogins and derivatives",0.1875,Aliphatic homopolycyclic compounds,0.625
274,S127,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
275,S128,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
276,175,23,Organic compounds,1,Organoheterocyclic compounds,0.269271912,Carboxylic acids and derivatives,0.175724638,,0.194772257,Alpha amino acid amides,0.07305038,Aromatic heteropolycyclic compounds,0.395272602
290,175,23,Organic compounds,1,Organoheterocyclic compounds,0.269271912,Carboxylic acids and derivatives,0.175724638,,0.194772257,Alpha amino acid amides,0.07305038,Aromatic heteropolycyclic compounds,0.395272602
301,175,23,Organic compounds,1,Organoheterocyclic compounds,0.269271912,Carboxylic acids and derivatives,0.175724638,,0.194772257,Alpha amino acid amides,0.07305038,Aromatic heteropolycyclic compounds,0.395272602
312,175,23,Organic compounds,1,Organoheterocyclic compounds,0.269271912,Carboxylic acids and derivatives,0.175724638,,0.194772257,Alpha amino acid amides,0.07305038,Aromatic heteropolycyclic compounds,0.395272602
320,175,23,Organic compounds,1,Organoheterocyclic compounds,0.269271912,Carboxylic acids and derivatives,0.175724638,,0.194772257,Alpha amino acid amides,0.07305038,Aromatic heteropolycyclic compounds,0.395272602
336,175,23,Organic compounds,1,Organoheterocyclic compounds,0.269271912,Carboxylic acids and derivatives,0.175724638,,0.194772257,Alpha amino acid amides,0.07305038,Aromatic heteropolycyclic compounds,0.395272602
359,175,23,Organic compounds,1,Organoheterocyclic compounds,0.269271912,Carboxylic acids and derivatives,0.175724638,,0.194772257,Alpha amino acid amides,0.07305038,Aromatic heteropolycyclic compounds,0.395272602
375,175,23,Organic compounds,1,Organoheterocyclic compounds,0.269271912,Carboxylic acids and derivatives,0.175724638,,0.194772257,Alpha amino acid amides,0.07305038,Aromatic heteropolycyclic compounds,0.395272602
398,175,23,Organic compounds,1,Organoheterocyclic compounds,0.269271912,Carboxylic acids and derivatives,0.175724638,,0.194772257,Alpha amino acid amides,0.07305038,Aromatic heteropolycyclic compounds,0.395272602
400,175,23,Organic compounds,1,Organoheterocyclic compounds,0.269271912,Carboxylic acids and derivatives,0.175724638,,0.194772257,Alpha amino acid amides,0.07305038,Aromatic heteropolycyclic compounds,0.395272602
408,175,23,Organic compounds,1,Organoheterocyclic compounds,0.269271912,Carboxylic acids and derivatives,0.175724638,,0.194772257,Alpha amino acid amides,0.07305038,Aromatic heteropolycyclic compounds,0.395272602
415,175,23,Organic compounds,1,Organoheterocyclic compounds,0.269271912,Carboxylic acids and derivatives,0.175724638,,0.194772257,Alpha amino acid amides,0.07305038,Aromatic heteropolycyclic compounds,0.395272602
