"","OTU","Sample","Abundance","Gut_Subsection","Kingdom","Phylum","Class","Order","Family"
"68","Otu00019","GI_4",0.04444,"GI_4","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae"
"23","Otu00005","HG_1",0.043408,"HG_1","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"41","Otu00015","GI_3",0.042176,"GI_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"82","Otu00024","GI_1",0.041575,"GI_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"63","Otu00017","HG_2",0.038468,"HG_2","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae"
"24","Otu00005","HG_2",0.038436,"HG_2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"109","Otu00040","HG_2",0.038332,"HG_2","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"115","Otu00042","GI_4",0.03832,"GI_4","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"112","Otu00040","HG_1",0.037112,"HG_1","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"132","Otu00059","HG_1",0.032416,"HG_1","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"69","Otu00019","HG_1",0.0319,"HG_1","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae"
"47","Otu00015","GI_4",0.03174,"GI_4","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"87","Otu00024","HG_3",0.030196,"HG_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"79","Otu00021","GI_2",0.02998,"GI_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"18","Otu00005","HG_3",0.028812,"HG_3","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"114","Otu00042","ST",0.02834,"ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"143","Otu00062","HG_2",0.027828,"HG_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"137","Otu00062","HG_3",0.02782,"HG_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"85","Otu00024","HG_1",0.02752,"HG_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"144","Otu00062","HG_1",0.027428,"HG_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"133","Otu00059","HG_2",0.026924,"HG_2","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"76","Otu00021","GI_1",0.0266,"GI_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"59","Otu00017","HG_3",0.024892,"HG_3","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae"
"101","Otu00027","HG_1",0.024872,"HG_1","Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa"
"121","Otu00047","GI_3",0.02438,"GI_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"224","Otu00141","HG_3",0.023276,"HG_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified"
"283","Otu00236","ST",0.0227433333333333,"ST","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae"
"134","Otu00059","HG_3",0.021556,"HG_3","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"86","Otu00024","HG_2",0.021412,"HG_2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"173","Otu00088","GI_3",0.020756,"GI_3","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae"
"60","Otu00017","GI_2",0.019835,"GI_2","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae"
"83","Otu00024","GI_4",0.019532,"GI_4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"61","Otu00017","GI_1",0.019525,"GI_1","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae"
"320","Otu00277","ST",0.0192433333333333,"ST","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae"
"42","Otu00015","HG_2",0.01878,"HG_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"62","Otu00017","ST",0.0187,"ST","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae"
"103","Otu00027","HG_2",0.018604,"HG_2","Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa"
"223","Otu00141","HG_2",0.017836,"HG_2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified"
"219","Otu00141","HG_1",0.017724,"HG_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified"
"251","Otu00169","GI_3",0.017188,"GI_3","Eukaryota","Parabasalia","Gf10_symbiont_group","Gf10_symbiont_group_or","Gf10_symbiont_group_fa"
"44","Otu00015","HG_1",0.015772,"HG_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"369","Otu00396","GI_1",0.015425,"GI_1","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae"
"36","Otu00012","GI_1",0.014975,"GI_1","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae"
"43","Otu00015","HG_3",0.014788,"HG_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"164","Otu00087","HG_1",0.014328,"HG_1","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae"
"81","Otu00024","GI_3",0.01354,"GI_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"46","Otu00015","ST",0.0133766666666667,"ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"95","Otu00025","GI_2",0.013345,"GI_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"122","Otu00047","GI_1",0.0132,"GI_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"117","Otu00042","GI_1",0.013065,"GI_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"123","Otu00047","ST",0.01299,"ST","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"33","Otu00012","ST",0.0123833333333333,"ST","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae"
"57","Otu00017","HG_1",0.0122,"HG_1","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae"
"165","Otu00087","HG_2",0.012144,"HG_2","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae"
"161","Otu00087","HG_3",0.011992,"HG_3","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae"
"64","Otu00017","GI_3",0.011808,"GI_3","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae"
"150","Otu00074","HG_2",0.011776,"HG_2","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae"
"256","Otu00169","GI_2",0.011585,"GI_2","Eukaryota","Parabasalia","Gf10_symbiont_group","Gf10_symbiont_group_or","Gf10_symbiont_group_fa"
"120","Otu00042","GI_2",0.01153,"GI_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"151","Otu00074","HG_3",0.011516,"HG_3","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae"
"408","Otu00485","ST",0.01134,"ST","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae"
"97","Otu00027","GI_2",0.011065,"GI_2","Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa"
"116","Otu00042","HG_1",0.010804,"HG_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"344","Otu00339","HG_1",0.01,"HG_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"35","Otu00012","GI_3",0.00998,"GI_3","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae"
"213","Otu00133","GI_3",0.009932,"GI_3","Eukaryota","Parabasalia","Parabasalia_unclassified","Parabasalia_unclassified","Parabasalia_unclassified"
"56","Otu00016","HG_2",0.009752,"HG_2","Bacteria","Spirochaetes","Spirochaetia","Brevinematales","Brevinemataceae"
"21","Otu00005","ST",0.00970666666666667,"ST","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"92","Otu00025","GI_1",0.009685,"GI_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"279","Otu00230","GI_2",0.00951,"GI_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured"
"105","Otu00040","GI_4",0.009124,"GI_4","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"196","Otu00120","GI_4",0.009116,"GI_4","Bacteria","Kiritimatiellaeota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae"
"119","Otu00042","HG_3",0.009048,"HG_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"58","Otu00017","GI_4",0.008856,"GI_4","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae"
"340","Otu00339","HG_2",0.008856,"HG_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"289","Otu00238","HG_1",0.008824,"HG_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"248","Otu00156","HG_1",0.00876,"HG_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured"
"337","Otu00339","HG_3",0.008532,"HG_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"55","Otu00016","HG_1",0.008352,"HG_1","Bacteria","Spirochaetes","Spirochaetia","Brevinematales","Brevinemataceae"
"216","Otu00133","GI_2",0.008225,"GI_2","Eukaryota","Parabasalia","Parabasalia_unclassified","Parabasalia_unclassified","Parabasalia_unclassified"
"246","Otu00156","HG_2",0.008036,"HG_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured"
"296","Otu00238","HG_2",0.007992,"HG_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"72","Otu00019","GI_2",0.00798,"GI_2","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae"
"418","Otu00512","ST",0.00788,"ST","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified"
"100","Otu00027","HG_3",0.007584,"HG_3","Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa"
"297","Otu00245","HG_3",0.007576,"HG_3","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa"
"93","Otu00025","ST",0.00753333333333333,"ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"294","Otu00238","HG_3",0.007448,"HG_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"118","Otu00042","HG_2",0.007332,"HG_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"77","Otu00021","ST",0.00726,"ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"243","Otu00156","HG_3",0.007116,"HG_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured"
"172","Otu00088","GI_2",0.00705,"GI_2","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae"
"269","Otu00224","HG_1",0.007044,"HG_1","Eukaryota","Parabasalia","Trichomonadea","Trichomonadea_or","Trichomonadea_fa"
"191","Otu00113","HG_3",0.006736,"HG_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"136","Otu00059","ST",0.00666666666666667,"ST","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"271","Otu00224","HG_2",0.006464,"HG_2","Eukaryota","Parabasalia","Trichomonadea","Trichomonadea_or","Trichomonadea_fa"
"302","Otu00245","HG_2",0.006336,"HG_2","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa"
"70","Otu00019","GI_1",0.006115,"GI_1","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae"
"300","Otu00245","HG_1",0.005984,"HG_1","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa"
"130","Otu00059","GI_4",0.00596,"GI_4","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"52","Otu00016","ST",0.00566333333333333,"ST","Bacteria","Spirochaetes","Spirochaetia","Brevinematales","Brevinemataceae"
"181","Otu00111","HG_3",0.005616,"HG_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae"
"253","Otu00169","GI_4",0.005616,"GI_4","Eukaryota","Parabasalia","Gf10_symbiont_group","Gf10_symbiont_group_or","Gf10_symbiont_group_fa"
"265","Otu00224","HG_3",0.005592,"HG_3","Eukaryota","Parabasalia","Trichomonadea","Trichomonadea_or","Trichomonadea_fa"
"174","Otu00088","GI_1",0.005575,"GI_1","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae"
"195","Otu00120","HG_1",0.005544,"HG_1","Bacteria","Kiritimatiellaeota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae"
"129","Otu00059","GI_3",0.005176,"GI_3","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"148","Otu00074","HG_1",0.005128,"HG_1","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae"
"308","Otu00266","ST",0.00511333333333333,"ST","Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","uncultured"
"131","Otu00059","GI_2",0.005025,"GI_2","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"378","Otu00417","HG_1",0.004836,"HG_1","Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"207","Otu00132","HG_1",0.004828,"HG_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae"
"192","Otu00113","HG_2",0.004716,"HG_2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"280","Otu00230","GI_3",0.004616,"GI_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured"
"446","Otu00634","ST",0.00456333333333333,"ST","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae"
"180","Otu00111","HG_2",0.004512,"HG_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae"
"395","Otu00478","HG_1",0.00444,"HG_1","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"187","Otu00113","HG_1",0.004352,"HG_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"182","Otu00111","HG_1",0.00426,"HG_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae"
"277","Otu00230","GI_1",0.0042,"GI_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured"
"356","Otu00387","GI_3",0.00406,"GI_3","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae"
"140","Otu00062","GI_4",0.004048,"GI_4","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"206","Otu00132","HG_2",0.00398,"HG_2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae"
"399","Otu00478","ST",0.00379666666666667,"ST","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"278","Otu00230","GI_4",0.003688,"GI_4","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured"
"517","Otu01463","ST",0.00367,"ST","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae"
"135","Otu00059","GI_1",0.00366,"GI_1","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"290","Otu00238","GI_4",0.003624,"GI_4","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"400","Otu00478","HG_3",0.003624,"HG_3","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"202","Otu00132","HG_3",0.003512,"HG_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae"
"396","Otu00478","HG_2",0.003456,"HG_2","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"359","Otu00387","GI_2",0.00339,"GI_2","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae"
"350","Otu00352","HG_3",0.003384,"HG_3","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"384","Otu00417","GI_3",0.0033,"GI_3","Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"209","Otu00133","GI_4",0.00328,"GI_4","Eukaryota","Parabasalia","Parabasalia_unclassified","Parabasalia_unclassified","Parabasalia_unclassified"
"194","Otu00120","HG_3",0.003232,"HG_3","Bacteria","Kiritimatiellaeota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae"
"508","Otu01270","ST",0.00319666666666667,"ST","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae"
"365","Otu00395","HG_3",0.00312,"HG_3","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae"
"352","Otu00352","HG_1",0.003028,"HG_1","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"220","Otu00141","GI_1",0.00302,"GI_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified"
"358","Otu00387","GI_4",0.002984,"GI_4","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae"
"483","Otu01063","ST",0.00286666666666667,"ST","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae"
"315","Otu00277","GI_2",0.00286,"GI_2","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae"
"349","Otu00352","HG_2",0.002824,"HG_2","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"176","Otu00088","HG_1",0.002808,"HG_1","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae"
