"","OTU","Sample","Abundance","Gut_Subsection","Kingdom","Phylum","Class","Order","Family"
"249","Otu00169","GI_1",0.002015,"GI_1","Eukaryota","Parabasalia","Gf10_symbiont_group","Gf10_symbiont_group_or","Gf10_symbiont_group_fa"
"267","Otu00224","GI_4",0.002012,"GI_4","Eukaryota","Parabasalia","Trichomonadea","Trichomonadea_or","Trichomonadea_fa"
"214","Otu00133","HG_1",0.001952,"HG_1","Eukaryota","Parabasalia","Parabasalia_unclassified","Parabasalia_unclassified","Parabasalia_unclassified"
"221","Otu00141","GI_4",0.001948,"GI_4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified"
"383","Otu00417","GI_1",0.00194,"GI_1","Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"167","Otu00087","GI_1",0.001935,"GI_1","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae"
"393","Otu00478","GI_3",0.001896,"GI_3","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"504","Otu01185","ST",0.00188666666666667,"ST","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured"
"322","Otu00278","HG_1",0.00188,"HG_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"477","Otu00916","ST",0.00178666666666667,"ST","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae"
"239","Otu00151","HG_1",0.001768,"HG_1","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"262","Otu00199","HG_3",0.001748,"HG_3","Bacteria","Tenericutes","Mollicutes","T2WK15B57","T2WK15B57_fa"
"394","Otu00478","GI_4",0.001696,"GI_4","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"266","Otu00224","GI_3",0.001688,"GI_3","Eukaryota","Parabasalia","Trichomonadea","Trichomonadea_or","Trichomonadea_fa"
"197","Otu00120","HG_2",0.001672,"HG_2","Bacteria","Kiritimatiellaeota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae"
"210","Otu00133","GI_1",0.00167,"GI_1","Eukaryota","Parabasalia","Parabasalia_unclassified","Parabasalia_unclassified","Parabasalia_unclassified"
"88","Otu00024","ST",0.00163333333333333,"ST","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"163","Otu00087","GI_4",0.001568,"GI_4","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae"
"237","Otu00151","HG_2",0.00156,"HG_2","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"380","Otu00417","HG_2",0.001528,"HG_2","Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"381","Otu00417","HG_3",0.001468,"HG_3","Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"211","Otu00133","HG_2",0.001396,"HG_2","Eukaryota","Parabasalia","Parabasalia_unclassified","Parabasalia_unclassified","Parabasalia_unclassified"
"416","Otu00497","GI_2",0.001395,"GI_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_unclassified"
"523","Otu01497","ST",0.00138333333333333,"ST","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"238","Otu00151","HG_3",0.001376,"HG_3","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"390","Otu00461","HG_1",0.001348,"HG_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII"
"335","Otu00282","HG_2",0.001332,"HG_2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae"
"391","Otu00461","HG_2",0.001328,"HG_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII"
"364","Otu00395","HG_2",0.001288,"HG_2","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae"
"387","Otu00461","HG_3",0.001244,"HG_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII"
"108","Otu00040","ST",0.00124333333333333,"ST","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"332","Otu00282","HG_1",0.001236,"HG_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae"
"67","Otu00019","ST",0.00118666666666667,"ST","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae"
"37","Otu00012","GI_4",0.001156,"GI_4","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae"
"138","Otu00062","ST",0.00108666666666667,"ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"429","Otu00593","GI_2",0.001085,"GI_2","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae"
"288","Otu00236","GI_2",0.001075,"GI_2","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae"
"363","Otu00395","HG_1",0.001044,"HG_1","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae"
"456","Otu00807","HG_3",0.001016,"HG_3","Bacteria","Tenericutes","Mollicutes","Mollicutes_unclassified","Mollicutes_unclassified"
"455","Otu00807","HG_2",0.00098,"HG_2","Bacteria","Tenericutes","Mollicutes","Mollicutes_unclassified","Mollicutes_unclassified"
"291","Otu00238","GI_2",0.00095,"GI_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"154","Otu00075","GI_1",0.000945,"GI_1","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae"
"102","Otu00027","ST",0.000943333333333333,"ST","Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa"
"177","Otu00111","GI_4",0.00094,"GI_4","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae"
"346","Otu00352","GI_4",0.000928,"GI_4","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"552","Otu01684","ST",0.00089,"ST","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Flammeovirgaceae"
"325","Otu00278","GI_4",0.00086,"GI_4","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"536","Otu01522","ST",0.00086,"ST","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae"
"190","Otu00113","GI_4",0.000856,"GI_4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"454","Otu00807","HG_1",0.000808,"HG_1","Bacteria","Tenericutes","Mollicutes","Mollicutes_unclassified","Mollicutes_unclassified"
"432","Otu00593","HG_2",0.000788,"HG_2","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae"
"39","Otu00012","HG_1",0.000788,"HG_1","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae"
"111","Otu00040","GI_3",0.00078,"GI_3","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"263","Otu00199","HG_1",0.00078,"HG_1","Bacteria","Tenericutes","Mollicutes","T2WK15B57","T2WK15B57_fa"
"30","Otu00007","GI_1",0.00076,"GI_1","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"343","Otu00339","ST",0.00074,"ST","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"415","Otu00497","GI_1",0.000725,"GI_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_unclassified"
"168","Otu00087","ST",0.000706666666666667,"ST","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae"
"389","Otu00461","GI_4",0.000664,"GI_4","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII"
"170","Otu00088","ST",0.000663333333333333,"ST","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae"
"426","Otu00593","HG_1",0.00064,"HG_1","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae"
"316","Otu00277","GI_3",0.000616,"GI_3","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae"
"217","Otu00141","ST",0.00061,"ST","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified"
"12","Otu00004","GI_4",0.000608,"GI_4","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae"
"171","Otu00088","HG_3",6e-04,"HG_3","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae"
"274","Otu00230","HG_3",0.000596,"HG_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured"
"242","Otu00156","GI_4",0.000572,"GI_4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured"
"179","Otu00111","GI_1",0.00057,"GI_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae"
"199","Otu00120","GI_1",0.00056,"GI_1","Bacteria","Kiritimatiellaeota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae"
"425","Otu00593","GI_3",0.000552,"GI_3","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae"
"428","Otu00593","HG_3",0.000524,"HG_3","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae"
"339","Otu00339","GI_4",0.000516,"GI_4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"34","Otu00012","HG_3",5e-04,"HG_3","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae"
"459","Otu00817","HG_1",0.000496,"HG_1","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"433","Otu00600","HG_3",0.000492,"HG_3","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae"
"241","Otu00156","ST",0.000486666666666667,"ST","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured"
"353","Otu00387","GI_1",0.000475,"GI_1","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae"
"360","Otu00387","HG_2",0.000456,"HG_2","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae"
"273","Otu00230","HG_2",0.000452,"HG_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured"
"397","Otu00478","GI_2",0.000445,"GI_2","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"231","Otu00148","GI_4",0.000444,"GI_4","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"40","Otu00012","HG_2",0.000436,"HG_2","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae"
"275","Otu00230","HG_1",0.000432,"HG_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured"
"10","Otu00004","HG_1",0.00042,"HG_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae"
"268","Otu00224","GI_2",0.000415,"GI_2","Eukaryota","Parabasalia","Trichomonadea","Trichomonadea_or","Trichomonadea_fa"
"430","Otu00593","GI_1",0.000415,"GI_1","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae"
"357","Otu00387","HG_1",0.000412,"HG_1","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae"
"155","Otu00075","ST",0.00041,"ST","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae"
"145","Otu00074","GI_1",0.000405,"GI_1","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae"
"293","Otu00238","ST",0.000403333333333333,"ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"493","Otu01081","HG_3",4e-04,"HG_3","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae"
"104","Otu00027","GI_1",4e-04,"GI_1","Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa"
"336","Otu00282","GI_1",0.00036,"GI_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae"
"427","Otu00593","GI_4",0.00036,"GI_4","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae"
"229","Otu00148","GI_1",0.000345,"GI_1","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"110","Otu00040","GI_2",0.00034,"GI_2","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"139","Otu00062","GI_1",0.00034,"GI_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"292","Otu00238","GI_1",0.00034,"GI_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"388","Otu00461","GI_3",0.000336,"GI_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII"
"464","Otu00817","HG_2",0.000336,"HG_2","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"313","Otu00277","GI_1",0.00033,"GI_1","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae"
"142","Otu00062","GI_3",0.000328,"GI_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"9","Otu00004","GI_3",0.000324,"GI_3","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae"
"281","Otu00236","GI_1",0.00032,"GI_1","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae"
"355","Otu00387","HG_3",0.000296,"HG_3","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae"
"323","Otu00278","GI_1",0.000295,"GI_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"462","Otu00817","GI_4",0.000292,"GI_4","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"398","Otu00478","GI_1",0.00029,"GI_1","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"276","Otu00230","ST",0.00028,"ST","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured"
"233","Otu00151","GI_1",0.00028,"GI_1","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"489","Otu01081","HG_2",0.000272,"HG_2","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae"
"230","Otu00148","ST",0.000263333333333333,"ST","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"16","Otu00004","HG_2",0.000252,"HG_2","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae"
"338","Otu00339","GI_1",0.00025,"GI_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"147","Otu00074","GI_4",0.000244,"GI_4","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae"
"13","Otu00004","HG_3",0.00024,"HG_3","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae"
"252","Otu00169","ST",0.000236666666666667,"ST","Eukaryota","Parabasalia","Gf10_symbiont_group","Gf10_symbiont_group_or","Gf10_symbiont_group_fa"
"495","Otu01081","HG_1",0.000236,"HG_1","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae"
"345","Otu00352","ST",0.000233333333333333,"ST","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"186","Otu00113","ST",0.000226666666666667,"ST","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"438","Otu00600","HG_1",0.000224,"HG_1","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae"
"218","Otu00141","GI_3",0.00022,"GI_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified"
"539","Otu01682","HG_3",0.00022,"HG_3","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","Bradymonadales_fa"
"348","Otu00352","GI_1",0.000205,"GI_1","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"439","Otu00600","GI_1",2e-04,"GI_1","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae"
"541","Otu01682","HG_1",0.000192,"HG_1","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","Bradymonadales_fa"
"205","Otu00132","ST",0.00019,"ST","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae"
"324","Otu00278","ST",0.000186666666666667,"ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"409","Otu00497","GI_4",0.000184,"GI_4","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_unclassified"
"314","Otu00277","GI_4",0.00018,"GI_4","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae"
"372","Otu00396","GI_2",0.00018,"GI_2","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae"
"458","Otu00817","HG_3",0.00018,"HG_3","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"452","Otu00807","GI_4",0.00018,"GI_4","Bacteria","Tenericutes","Mollicutes","Mollicutes_unclassified","Mollicutes_unclassified"
"215","Otu00133","ST",0.000173333333333333,"ST","Eukaryota","Parabasalia","Parabasalia_unclassified","Parabasalia_unclassified","Parabasalia_unclassified"
"382","Otu00417","GI_2",0.00017,"GI_2","Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"178","Otu00111","GI_3",0.000168,"GI_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae"
"347","Otu00352","GI_3",0.000164,"GI_3","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"354","Otu00387","ST",0.00016,"ST","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae"
"299","Otu00245","GI_4",0.000152,"GI_4","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa"
"240","Otu00151","ST",0.000146666666666667,"ST","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"29","Otu00007","GI_2",0.000145,"GI_2","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"410","Otu00497","GI_3",0.000144,"GI_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_unclassified"
"32","Otu00007","HG_1",0.00014,"HG_1","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"542","Otu01682","GI_1",0.00014,"GI_1","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","Bradymonadales_fa"
"84","Otu00024","GI_2",0.00013,"GI_2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"460","Otu00817","GI_1",0.00013,"GI_1","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"366","Otu00395","GI_4",0.000128,"GI_4","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae"
"201","Otu00132","GI_4",0.000124,"GI_4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae"
"321","Otu00278","GI_3",0.00012,"GI_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"234","Otu00151","GI_4",0.000112,"GI_4","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"184","Otu00111","ST",9.66666666666667e-05,"ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae"
"31","Otu00007","ST",9.33333333333333e-05,"ST","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"440","Otu00600","HG_2",9.2e-05,"HG_2","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae"
"368","Otu00395","ST",9e-05,"ST","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae"
"222","Otu00141","GI_2",8.5e-05,"GI_2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified"
"189","Otu00113","GI_3",8.4e-05,"GI_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"247","Otu00156","GI_3",8e-05,"GI_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured"
"264","Otu00199","GI_4",7.6e-05,"GI_4","Bacteria","Tenericutes","Mollicutes","T2WK15B57","T2WK15B57_fa"
"153","Otu00075","GI_2",7.5e-05,"GI_2","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae"
"496","Otu01081","GI_4",7.2e-05,"GI_4","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae"
"544","Otu01682","HG_2",6.8e-05,"HG_2","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","Bradymonadales_fa"
"162","Otu00087","GI_3",6.4e-05,"GI_3","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae"
"304","Otu00245","ST",6.33333333333333e-05,"ST","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa"
"141","Otu00062","GI_2",6e-05,"GI_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"254","Otu00169","HG_1",6e-05,"HG_1","Eukaryota","Parabasalia","Gf10_symbiont_group","Gf10_symbiont_group_or","Gf10_symbiont_group_fa"
"437","Otu00600","GI_4",6e-05,"GI_4","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae"
"272","Otu00224","ST",5.66666666666667e-05,"ST","Eukaryota","Parabasalia","Trichomonadea","Trichomonadea_or","Trichomonadea_fa"
"374","Otu00396","ST",5.33333333333333e-05,"ST","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae"
"226","Otu00148","GI_3",5.2e-05,"GI_3","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"245","Otu00156","GI_1",5e-05,"GI_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured"
"317","Otu00277","HG_2",4.4e-05,"HG_2","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae"
"319","Otu00277","HG_1",4.4e-05,"HG_1","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae"
"185","Otu00113","GI_1",4e-05,"GI_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"449","Otu00807","ST",4e-05,"ST","Bacteria","Tenericutes","Mollicutes","Mollicutes_unclassified","Mollicutes_unclassified"
"225","Otu00148","GI_2",3.5e-05,"GI_2","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"183","Otu00111","GI_2",3.5e-05,"GI_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae"
"301","Otu00245","GI_1",3.5e-05,"GI_1","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa"
"431","Otu00593","ST",3.33333333333333e-05,"ST","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae"
"392","Otu00461","GI_2",3e-05,"GI_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII"
"284","Otu00236","GI_4",2.8e-05,"GI_4","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae"
"370","Otu00396","HG_3",2.8e-05,"HG_3","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae"
"375","Otu00396","HG_2",2.8e-05,"HG_2","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae"
"166","Otu00087","GI_2",2.5e-05,"GI_2","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae"
"146","Otu00074","GI_3",2.4e-05,"GI_3","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae"
"255","Otu00169","HG_2",2.4e-05,"HG_2","Eukaryota","Parabasalia","Gf10_symbiont_group","Gf10_symbiont_group_or","Gf10_symbiont_group_fa"
"286","Otu00236","HG_1",2.4e-05,"HG_1","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae"
"318","Otu00277","HG_3",2.4e-05,"HG_3","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae"
"472","Otu00851","HG_2",2.4e-05,"HG_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae"
"342","Otu00339","GI_3",2e-05,"GI_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"287","Otu00236","HG_2",2e-05,"HG_2","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae"
"373","Otu00396","GI_3",2e-05,"GI_3","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae"
"414","Otu00497","ST",1.66666666666667e-05,"ST","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_unclassified"
"436","Otu00600","ST",1.66666666666667e-05,"ST","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae"
"236","Otu00151","GI_3",1.6e-05,"GI_3","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"306","Otu00266","HG_2",1.6e-05,"HG_2","Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","uncultured"
"371","Otu00396","GI_4",1.6e-05,"GI_4","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae"
"38","Otu00012","GI_2",1.5e-05,"GI_2","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae"
"198","Otu00120","GI_2",1.5e-05,"GI_2","Bacteria","Kiritimatiellaeota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae"
"244","Otu00156","GI_2",1.5e-05,"GI_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured"
"465","Otu00851","GI_1",1.5e-05,"GI_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae"
