"","OTU","Sample","Abundance","X","SampleCode","Sample_Type_Broad","RobCode","Fish_Number","Species","Gut_Section","Gut_SubSection","Culture_Media","Ranked_Gut_SubSection_Distance_from_Stomach","Kingdom","Phylum","Class","Order","Family"
"1147","Otu00238","F5_GI_3",0.00544,23,"F5_GI_3","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_3","Fish_Gut",4,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"1195","Otu00278","F5_HG_3",0.00544,27,"F5_HG_3","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"631","Otu00087","F6_HG_2",0.00526,34,"F6_HG_2","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_2","Fish_Gut",7,"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae"
"518","Otu00047","F5_GI_2",0.00524,22,"F5_GI_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"41","Otu00004","F6_GI_1",0.0052,30,"F6_GI_1","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_1","Fish_Gut",2,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae"
"151","Otu00012","F6_GI_4",0.00514,32,"F6_GI_4","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_4","Fish_Gut",5,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae"
"542","Otu00059","F4_GI_3",0.00514,14,"F4_GI_3","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_3","Fish_Gut",4,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"1517","Otu00478","F4_HG_1",0.00512,16,"F4_HG_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"1154","Otu00238","F6_HG_1",0.00502,33,"F6_HG_1","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_1","Fish_Gut",6,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"575","Otu00062","F6_HG_1",0.00494,33,"F6_HG_1","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_1","Fish_Gut",6,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"432","Otu00040","F6_GI_1",0.0049,30,"F6_GI_1","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_1","Fish_Gut",2,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"1149","Otu00238","F6_GI_4",0.0049,32,"F6_GI_4","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_4","Fish_Gut",5,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"1194","Otu00278","F5_HG_2",0.0049,26,"F5_HG_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"462","Otu00040","F6_HG_3",0.00482,35,"F6_HG_3","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_3","Fish_Gut",8,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"732","Otu00113","F5_HG_3",0.00472,27,"F5_HG_3","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"480","Otu00042","F8_HG_2",0.00468,52,"F8_HG_2","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"201","Otu00016","F8_HG_1",0.00466,51,"F8_HG_1","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Spirochaetes","Spirochaetia","Brevinematales","Brevinemataceae"
"1116","Otu00230","F5_GI_4",0.00466,24,"F5_GI_4","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured"
"203","Otu00016","F5_HG_3",0.00458,27,"F5_HG_3","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Spirochaetes","Spirochaetia","Brevinematales","Brevinemataceae"
"489","Otu00042","F7_GI_4",0.00456,41,"F7_GI_4","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"756","Otu00113","F5_HG_1",0.00454,25,"F5_HG_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"181","Otu00015","F7_HG_1",0.00452,42,"F7_HG_1","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"485","Otu00042","F4_HG_2",0.00452,17,"F4_HG_2","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"465","Otu00042","F4_GI_1",0.0045,12,"F4_GI_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"436","Otu00040","F5_GI_1",0.00444,21,"F5_GI_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"911","Otu00148","F8_HG_1",0.00442,51,"F8_HG_1","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"530","Otu00059","F6_GI_1",0.0044,30,"F6_GI_1","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_1","Fish_Gut",2,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"1472","Otu00461","F8_HG_1",0.00428,51,"F8_HG_1","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII"
"1318","Otu00352","F6_HG_2",0.00422,34,"F6_HG_2","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_2","Fish_Gut",7,"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"742","Otu00113","F5_HG_2",0.0042,26,"F5_HG_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"830","Otu00133","F8_GI_4",0.0041,50,"F8_GI_4","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5,"Eukaryota","Parabasalia","Parabasalia_unclassified","Parabasalia_unclassified","Parabasalia_unclassified"
"1091","Otu00230","F5_GI_1",0.00408,21,"F5_GI_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured"
"316","Otu00021","F8_GI_1",0.00406,47,"F8_GI_1","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"935","Otu00151","F7_HG_1",0.00404,42,"F7_HG_1","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"1451","Otu00417","F6_HG_2",0.00402,34,"F6_HG_2","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_2","Fish_Gut",7,"Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"831","Otu00133","F4_GI_1",0.004,12,"F4_GI_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Eukaryota","Parabasalia","Parabasalia_unclassified","Parabasalia_unclassified","Parabasalia_unclassified"
"1219","Otu00278","F5_HG_1",0.00398,25,"F5_HG_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"262","Otu00017","F7_HG_3",0.00396,44,"F7_HG_3","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae"
"990","Otu00156","F8_HG_3",0.00396,53,"F8_HG_3","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured"
"534","Otu00059","F5_GI_1",0.0039,21,"F5_GI_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"1056","Otu00199","F6_HG_1",0.0039,33,"F6_HG_1","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_1","Fish_Gut",6,"Bacteria","Tenericutes","Mollicutes","T2WK15B57","T2WK15B57_fa"
"1314","Otu00352","F7_HG_3",0.00386,44,"F7_HG_3","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"1481","Otu00461","F8_HG_2",0.00384,52,"F8_HG_2","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII"
"924","Otu00148","F8_HG_2",0.00382,52,"F8_HG_2","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"1151","Otu00238","F6_HG_2",0.0038,34,"F6_HG_2","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_2","Fish_Gut",7,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"1131","Otu00238","F5_GI_4",0.00378,24,"F5_GI_4","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"1273","Otu00339","F6_HG_3",0.00374,35,"F6_HG_3","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_3","Fish_Gut",8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"1162","Otu00245","F4_HG_1",0.00372,16,"F4_HG_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa"
"1511","Otu00478","F6_HG_3",0.00372,35,"F6_HG_3","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_3","Fish_Gut",8,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"803","Otu00132","F8_HG_1",0.0037,51,"F8_HG_1","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae"
"450","Otu00040","F5_GI_3",0.0037,23,"F5_GI_3","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_3","Fish_Gut",4,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"812","Otu00132","F8_HG_2",0.00364,52,"F8_HG_2","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae"
"895","Otu00148","F5_HG_3",0.00364,27,"F5_HG_3","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"515","Otu00047","F4_GI_2",0.0036,13,"F4_GI_2","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"254","Otu00017","F5_GI_1",0.0036,21,"F5_GI_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae"
"740","Otu00113","F6_HG_2",0.0036,34,"F6_HG_2","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_2","Fish_Gut",7,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"1146","Otu00238","F5_GI_2",0.0036,22,"F5_GI_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"1508","Otu00478","F4_HG_2",0.0036,17,"F4_HG_2","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"190","Otu00015","F7_HG_2",0.00354,43,"F7_HG_2","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"1007","Otu00169","F5_GI_4",0.00352,24,"F5_GI_4","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5,"Eukaryota","Parabasalia","Gf10_symbiont_group","Gf10_symbiont_group_or","Gf10_symbiont_group_fa"
"1449","Otu00417","F6_GI_4",0.0035,32,"F6_GI_4","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_4","Fish_Gut",5,"Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"198","Otu00015","F4_HG_3",0.00342,18,"F4_HG_3","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"698","Otu00111","F6_HG_1",0.0034,33,"F6_HG_1","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_1","Fish_Gut",6,"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae"
"1152","Otu00238","F4_GI_4",0.0034,15,"F4_GI_4","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"940","Otu00151","F7_HG_2",0.00336,43,"F7_HG_2","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"472","Otu00042","F4_HG_1",0.0033,16,"F4_HG_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"1475","Otu00461","F8_HG_3",0.00328,53,"F8_HG_3","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII"
"421","Otu00027","F6_HG_1",0.00326,33,"F6_HG_1","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_1","Fish_Gut",6,"Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa"
"1299","Otu00352","F8_GI_4",0.00326,50,"F8_GI_4","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"1516","Otu00478","F4_GI_4",0.00324,15,"F4_GI_4","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"416","Otu00027","F8_HG_3",0.00324,53,"F8_HG_3","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa"
"464","Otu00042","F8_GI_1",0.00324,47,"F8_GI_1","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"1288","Otu00352","F5_HG_3",0.00318,27,"F5_HG_3","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"1126","Otu00238","F5_HG_2",0.00316,26,"F5_HG_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"1336","Otu00387","F5_GI_2",0.00314,22,"F5_GI_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3,"Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae"
"952","Otu00151","F7_HG_3",0.0031,44,"F7_HG_3","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"866","Otu00141","F5_GI_4",0.00308,24,"F5_GI_4","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified"
"1301","Otu00352","F7_HG_2",0.00308,43,"F7_HG_2","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"1369","Otu00395","F4_HG_2",0.00304,17,"F4_HG_2","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae"
"543","Otu00059","F6_GI_4",0.00302,32,"F6_GI_4","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_4","Fish_Gut",5,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"566","Otu00062","F6_GI_4",0.003,32,"F6_GI_4","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_4","Fish_Gut",5,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"1186","Otu00245","F4_HG_2",0.00294,17,"F4_HG_2","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa"
"1138","Otu00238","F4_GI_3",0.00292,14,"F4_GI_3","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_3","Fish_Gut",4,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"411","Otu00027","F8_GI_2",0.0029,48,"F8_GI_2","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3,"Bacteria","Tenericutes","Mollicutes","DMI","DMI_fa"
"39","Otu00004","F7_GI_4",0.0029,41,"F7_GI_4","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae"
"1307","Otu00352","F5_HG_1",0.0029,25,"F5_HG_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"1523","Otu00497","F4_GI_1",0.0029,12,"F4_GI_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_unclassified"
"1504","Otu00478","F8_HG_1",0.00288,51,"F8_HG_1","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"712","Otu00111","F5_GI_4",0.00286,24,"F5_GI_4","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae"
"824","Otu00132","F4_HG_1",0.00286,16,"F4_HG_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae"
"862","Otu00141","F8_GI_4",0.00286,50,"F8_GI_4","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified"
"875","Otu00141","F6_GI_4",0.00284,32,"F6_GI_4","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_4","Fish_Gut",5,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified"
"1125","Otu00238","F5_HG_3",0.00278,27,"F5_HG_3","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"1185","Otu00245","F8_HG_3",0.00276,53,"F8_HG_3","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa"
"1502","Otu00478","F7_GI_4",0.00276,41,"F7_GI_4","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"1560","Otu00593","F5_GI_2",0.00276,22,"F5_GI_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae"
"757","Otu00113","F4_HG_1",0.00274,16,"F4_HG_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"921","Otu00148","F6_HG_3",0.00274,35,"F6_HG_3","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_3","Fish_Gut",8,"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"475","Otu00042","F4_GI_2",0.00274,13,"F4_GI_2","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"744","Otu00113","F4_HG_3",0.00272,18,"F4_HG_3","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"628","Otu00087","F8_GI_4",0.00272,50,"F8_GI_4","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae"
"109","Otu00007","F5_GI_1",0.0027,21,"F5_GI_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"281","Otu00019","F5_GI_1",0.00264,21,"F5_GI_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae"
"897","Otu00148","F5_HG_2",0.00264,26,"F5_HG_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"1513","Otu00478","F4_HG_3",0.00264,18,"F4_HG_3","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"1432","Otu00417","F4_GI_4",0.0026,15,"F4_GI_4","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"1441","Otu00417","F4_HG_1",0.00258,16,"F4_HG_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"448","Otu00040","F7_GI_4",0.00254,41,"F7_GI_4","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"835","Otu00133","F5_GI_1",0.00254,21,"F5_GI_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2,"Eukaryota","Parabasalia","Parabasalia_unclassified","Parabasalia_unclassified","Parabasalia_unclassified"
"1100","Otu00230","F8_GI_4",0.00254,50,"F8_GI_4","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured"
"1290","Otu00352","F5_HG_2",0.00254,26,"F5_HG_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
