,Species,Gut_SubSection,Gut_SubSection.padjust,Species.padjust,Kingdom,Phylum,Class,Order,Family,Genus,ST.mean,PC.mean,GI_1.mean,GI_2.mean,GI_3.mean,GI_4.mean,HG_1.mean,HG_2.mean,HG_3.mean
Otu00375,0.070963368,0.000383587,0.001812276,0.380891674,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified,0.00014,0.000323333,7.50E-05,0,4.00E-06,6.80E-05,0.001548,0.001252,0.001176
Otu00246,0.244397931,0.001919281,0.007076227,0.519270583,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,2.33E-05,0.00018,0,0,8.00E-06,0.000164,0.001344,0.001148,0.001168
Otu00458,0.700260553,0.001518388,0.005759653,0.778179309,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified,0.00019,0.00034,0,0,0,0,0.000804,0.000912,0.001152
Otu00368,0.299674117,3.93E-05,0.000258307,0.524379364,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallaceae_ge,0,0,0,0,0,0.000132,0.001676,0.00158,0.001124
Otu00304,0.065348695,1.35E-07,6.33E-06,0.380891674,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,2.67E-05,3.33E-05,0,0,4.00E-06,0.000172,0.001112,0.001028,0.00112
Otu00326,0.771835512,3.67E-05,0.000249182,0.811589472,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,4.33E-05,0.000216667,4.50E-05,0,2.80E-05,0.000208,0.001472,0.001164,0.001116
Otu00274,0.034088944,1.89E-06,2.86E-05,0.357317873,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,7.00E-05,1.00E-04,0,0,0,0.00012,0.00096,0.001096,0.001116
Otu00392,0.126941532,0.014444683,0.035175479,0.478925025,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Gastranaerophilales_fa,Gastranaerophilales_ge,3.33E-06,0.000486667,0,0,0,2.00E-05,0.000876,9.00E-04,0.001108
Otu00605,0.046673359,0.00017679,0.000911682,0.357317873,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-008,0,0,5.00E-05,0,0,6.40E-05,0.000504,0.000784,0.001104
Otu00252,0.811661431,0.002163338,0.007829694,0.832770961,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_unclassified,4.33E-05,8.33E-05,0.00014,0,6.00E-05,0.000184,0.001224,0.001192,0.001092
Otu00092,0.450974459,0.00389269,0.012091859,0.626441635,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae_unclassified,0.002216667,0.00095,0.018095,0.006895,0.002708,0.000924,0.000388,0.000856,0.001088
Otu00376,0.142885573,0.000153211,0.000811296,0.478925025,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Gastranaerophilales_fa,Gastranaerophilales_ge,0,0,0,0,0,2.40E-05,0.000832,0.00074,0.001084
Otu00443,0.450257655,0.012530671,0.031090251,0.626441635,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,8.00E-05,0.000493333,0,0,0,4.40E-05,0.000928,0.000792,0.001068
Otu00463,0.058921209,6.25E-05,0.000370493,0.376282985,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,0,0,0,0,0,0,0.001192,0.001012,0.001036
Otu00435,0.273643293,2.24E-05,0.000173099,0.519270583,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,6.00E-05,0,0,0,4.00E-05,0.00034,0.001212,0.001148,0.001016
Otu00404,0.118759718,7.34E-07,1.46E-05,0.478925025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,9.00E-05,0,0,0,6.40E-05,0.00014,0.000876,0.00082,0.001004
Otu00563,0.375959444,0.003494448,0.011245733,0.565686362,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,uncultured,2.67E-05,0,0,0,5.60E-05,8.40E-05,0.00066,0.00076,0.000992
Otu00421,0.145474323,0.003360372,0.011058985,0.478925025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,0,6.67E-05,0,0,2.40E-05,0.000196,0.001056,0.001096,0.000968
Otu00533,0.399959111,0.000626021,0.002713902,0.586456441,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,GCA-900066225,3.33E-05,2.00E-04,0,0,2.40E-05,0.000148,7.00E-04,0.000788,0.000964
Otu00270,0.423032719,0.001527349,0.005765924,0.605758285,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,6.67E-06,0.00012,8.50E-05,0,0,0.000272,0.001764,0.00154,0.000956
Otu00622,0.292949027,0.01107386,0.028004088,0.522933897,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,uncultured,0,0.000343333,0,0,0,0.000116,0.000448,0.000488,0.000952
Otu00509,0.082058115,0.001231949,0.004764745,0.392198169,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0.00018,9.50E-05,0,6.40E-05,3.00E-04,0.000776,0.000748,0.000948
Otu00345,0.132931362,2.32E-07,7.45E-06,0.478925025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0,0,0,0,0.000236,0.0012,0.000956,0.000944
Otu00222,0.188250775,0.001664955,0.006242079,0.492586774,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000123333,0.00022,0.000135,0,0.000128,0.000256,0.001384,0.00118,0.000932
Otu00447,0.036775956,2.08E-05,0.000162431,0.357317873,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,4.67E-05,0.000276667,0,0,0,0.000188,0.000868,0.000896,0.000932
Otu00394,0.159129249,0.002630506,0.009183493,0.478925025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,4.33E-05,0,0,0,0.000156,0.000924,0.000884,0.000924
Otu00452,0.695086143,0.003521019,0.011245733,0.77460871,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,0,0,6.00E-05,0,8.00E-05,0.000292,0.000964,0.000816,0.00092
Otu00455,0.241010609,0.000416891,0.001946315,0.519270583,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,4.67E-05,7.67E-05,0,0,0,0.000128,0.000672,0.000724,0.000916
Otu00504,0.038444736,2.76E-07,8.38E-06,0.357317873,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000106667,7.67E-05,0,0,0,0.000192,0.00114,0.000912,0.000912
Otu00561,0.792450138,0.001111356,0.004406333,0.824859049,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,4.00E-05,2.33E-05,9.00E-05,0,7.20E-05,0.000188,0.000712,0.000744,0.000904
Otu00438,0.179737868,0.003160921,0.010478851,0.491441507,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,3.33E-05,9.33E-05,6.50E-05,0,1.60E-05,0.000196,0.001332,0.000684,0.000904
Otu00571,0.153498479,6.09E-07,1.37E-05,0.478925025,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,0,0,8.50E-05,0,0,8.00E-05,0.000576,0.000596,0.000904
Otu00338,0.216395472,0.000951483,0.00388974,0.506892775,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,0,0.00026,0,0,0,7.20E-05,0.000972,0.000828,9.00E-04
Otu00532,0.270329054,1.76E-07,6.61E-06,0.519270583,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,5.00E-05,0,0,0,2.80E-05,8.40E-05,0.000556,0.000904,0.000896
Otu00667,0.193293757,1.29E-07,6.33E-06,0.493354692,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,0,0,0,0,2.00E-05,7.60E-05,0.000556,0.000644,0.000896
Otu00570,0.334702426,1.55E-06,2.48E-05,0.544749025,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,2.67E-05,0.000446667,0,0,8.00E-06,0.000112,0.000544,0.000596,0.000868
Otu00436,0.169225216,5.30E-05,0.000321438,0.486216298,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,0.00011,0.000143333,2.00E-05,0,0,6.00E-05,0.000988,0.00068,0.00086
Otu00521,0.484263982,0.000302669,0.001465065,0.643239532,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,0.000136667,0,0,0,6.40E-05,0.000188,0.000592,0.00074,0.000856
Otu00697,0.161218148,0.000753262,0.003178201,0.478925025,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,3.33E-06,9.00E-05,0,0,8.00E-06,1.60E-05,0.000388,0.00058,0.000836
Otu00332,0.325916679,0.000917187,0.003788799,0.542021976,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_unclassified,0,0,0,7.50E-05,0,0.000128,0.000936,0.000772,0.000824
Otu00578,0.143339258,0.000598669,0.002609669,0.478925025,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,0,0,0,0,0,0.000208,7.00E-04,0.000608,0.000804
Otu00576,0.601749624,0.00069372,0.002974703,0.713955568,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Harryflintia,0,1.67E-05,0,0,0,0.000104,0.000628,0.000704,8.00E-04
Otu00422,0.230356288,0.013682949,0.033631921,0.518300728,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,0,0.000453333,0,0,0,0.000696,0.001088,0.000904,0.000792
Otu00480,0.284966271,0.000816113,0.00342507,0.519270583,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,2.00E-05,9.67E-05,0,5.00E-06,1.20E-05,9.20E-05,0.000784,0.00066,0.000792
Otu00693,0.314145817,2.56E-06,3.49E-05,0.534135687,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,0,7.00E-05,4.50E-05,0,0,0,0.000512,0.000492,0.00078
Otu00511,0.023621415,0.003605558,0.011333806,0.357317873,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,6.33E-05,0.000176667,0,0,0,8.40E-05,0.00072,0.000736,0.000768
Otu00647,0.278336516,0.000371237,0.001772894,0.519270583,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,8.67E-05,8.67E-05,0,0,9.60E-05,0.00016,0.000352,0.000476,0.000768
Otu00461,0.533733167,0.000745442,0.003162115,0.677980107,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_ge,0,0.000206667,0,1.00E-05,2.00E-05,0.000148,0.000964,0.000856,0.00076
Otu00724,0.086419216,0.000186871,0.00095741,0.398741296,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,0,0.000153333,0,0,0,6.80E-05,0.000424,0.00038,0.00076
Otu00468,0.419660664,4.06E-05,0.00026456,0.603261883,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,5.33E-05,0,4.00E-05,0,0,0.000108,0.000696,0.000684,0.000756
Otu00116,0.728319469,0.002903097,0.009915773,0.785976999,Bacteria,Tenericutes,Mollicutes,DMI,DMI_fa,DMI_ge,0.00021,6.67E-05,0.00019,0.004435,0.003816,0.005468,0.00172,0.001236,0.000744
Otu00589,0.358548379,1.77E-05,0.000143908,0.559883278,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,2.33E-05,0.00033,0,0,0,8.40E-05,0.000436,0.000508,0.000744
Otu00406,0.43831281,0.013444507,0.033149112,0.617551441,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,2.33E-05,0.000203333,0.00029,0,0,0.000232,0.001308,0.00098,0.000724
Otu00428,0.637044075,0.004366847,0.013150543,0.739158493,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallaceae_ge,3.33E-05,4.33E-05,0.00011,0,0,0.000144,0.001184,0.000912,0.000724
Otu00481,0.299689146,1.28E-06,2.20E-05,0.524379364,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,0,0,0.000175,0,6.80E-05,0.000172,0.000728,0.000884,0.000716
Otu00749,0.073045588,3.09E-06,3.94E-05,0.380891674,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,3.67E-05,0,0,0,0,0.000108,0.000284,0.000396,0.000688
Otu00569,0.640266103,8.39E-06,8.27E-05,0.740202887,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,6.00E-05,0,0,0,2.40E-05,2.40E-05,0.000472,0.000568,0.000684
Otu00666,0.288922415,4.86E-07,1.20E-05,0.519270583,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,0,0.000273333,0,0,4.00E-06,8.80E-05,0.000416,5.00E-04,0.00068
Otu00340,0.14275882,1.02E-05,9.14E-05,0.478925025,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,0,8.67E-05,5.00E-06,0,0,2.40E-05,0.000604,0.000528,0.000676
Otu00444,0.319000696,0.020861185,0.048696672,0.537629396,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured_ge,7.67E-05,0.00089,0,0,0,8.00E-05,0.00108,0.00096,0.000656
Otu00524,0.260436978,3.73E-06,4.39E-05,0.519270583,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0,0,0,4.00E-05,0.00018,0.000536,0.000524,0.000656
Otu00529,0.659724715,0.016302757,0.038978409,0.75292824,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified,0,0,0,0,0,0.000124,0.000856,0.000816,0.000652
Otu00863,0.180008359,0.010935944,0.027906514,0.491441507,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,1.33E-05,0,0,0,0,0,0.00026,0.000252,0.000648
Otu00794,0.057015792,0.000305304,0.001468808,0.371780662,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,1.67E-05,0.00025,0,0,0,4.00E-06,3.00E-04,0.000308,0.000644
Otu00584,0.131247455,0.01116956,0.028155857,0.478925025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,6.67E-05,0.00025,0,0,2.00E-05,0.00018,0.000432,0.000508,0.00064
Otu00073,0.163472669,0.006162558,0.01763116,0.481631693,Bacteria,Tenericutes,Mollicutes,DMI,DMI_fa,DMI_ge,6.67E-05,6.33E-05,0,0.00162,0.014684,0.012152,0.00264,0.001672,0.000636
Otu00448,0.173398508,0.000962996,0.003900855,0.487543261,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0.00025,0,0,0,0.000164,0.000872,0.000784,0.000632
Otu00470,0.14032322,6.95E-07,1.46E-05,0.478925025,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallaceae_ge,4.00E-05,0,0,0,0,4.00E-05,0.000836,0.000724,0.000632
Otu00454,0.283960695,0.008381468,0.022493123,0.519270583,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,0,0.000126667,3.50E-05,0,0,0.000184,0.000828,0.000764,0.000628
Otu00536,0.068377796,9.84E-06,9.03E-05,0.380891674,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0,0,0,1.20E-05,4.00E-05,0.00048,0.000616,0.000624
Otu00351,0.562602084,0.007778305,0.021309315,0.694447841,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0.000146667,5.50E-05,0,0,0.000272,0.00078,0.000784,0.00062
Otu00565,0.097886115,1.52E-05,0.000127211,0.431464496,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallaceae_ge,3.67E-05,8.67E-05,2.00E-05,0,0,4.80E-05,0.00094,0.000848,0.000612
Otu00575,0.674982377,0.002795215,0.009630674,0.757554902,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,2.33E-05,0,0,0,4.80E-05,2.00E-04,0.000652,0.00076,0.000596
Otu00632,0.078668315,4.24E-05,0.000269569,0.382188872,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,1.67E-05,6.00E-05,0,0,0,4.80E-05,0.000496,0.000488,0.000592
Otu00736,0.027582185,5.08E-07,1.21E-05,0.357317873,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,2.67E-05,2.67E-05,0,0,4.00E-06,4.80E-05,0.000376,0.000484,0.00058
Otu00456,0.385070135,2.36E-05,0.000177153,0.573561849,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,9.33E-05,7.00E-05,0,4.00E-05,0.000104,0.000404,0.000412,0.00058
Otu00411,0.331049985,0.003772955,0.011766251,0.543032096,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000113333,0.00022,0,0,3.60E-05,3.20E-05,0.000764,0.000928,0.000576
Otu00583,0.488909552,0.007904791,0.021580899,0.647414879,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured_ge,0.000156667,3.00E-04,1.00E-05,0,0,3.20E-05,0.00068,0.00058,0.000576
Otu00663,0.235634033,0.00434689,0.013140598,0.518300728,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0.000133333,0,0,0,0,0.00072,0.000504,0.000576
Otu00419,0.03073103,0.006355891,0.017974188,0.357317873,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.00019,0.00068,0,0,0,9.20E-05,0.000848,0.000644,0.000572
Otu00911,0.091714482,0.011834056,0.02954769,0.411986745,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,0.000106667,0,0,0.00014,0,2.00E-05,0.000228,0.000288,0.000572
Otu00652,0.7961344,2.26E-06,3.24E-05,0.825761006,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,0,0.000433333,0,0,2.40E-05,7.20E-05,3.00E-04,0.000468,0.000568
Otu00878,0.029381185,0.000199732,0.001016701,0.357317873,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,2.00E-05,6.67E-05,0,0,0,4.00E-05,0.000276,0.000452,0.000564
Otu00770,0.192380736,0.003575911,0.011330897,0.493354692,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,0,0,0,0,0,3.20E-05,0.000352,0.000356,0.000564
Otu00882,0.2810579,2.47E-06,3.45E-05,0.519270583,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,0,0,0,0,0,9.20E-05,0.000364,0.000336,0.000564
Otu00778,0.084936105,1.20E-06,2.16E-05,0.394203453,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-013,0,0.000116667,0,0,0,2.80E-05,0.000324,0.000332,0.000564
Otu00467,0.182954077,4.11E-06,4.70E-05,0.492586774,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0.00017,0,0,5.20E-05,8.80E-05,0.000652,0.000548,0.000552
Otu00553,0.460711176,0.00353478,0.011245733,0.633277209,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,8.67E-05,0.00014,0,0,0,4.00E-05,0.000648,0.000548,0.000548
Otu00806,0.089541553,3.95E-06,4.59E-05,0.408371593,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,0,9.67E-05,0,0,0,6.00E-05,0.000352,0.00036,0.000544
Otu00586,0.237529893,0.000666937,0.002875484,0.518939257,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,4.33E-05,0.000393333,0,0,0,4.40E-05,0.00074,0.00054,0.000532
Otu00685,0.299723972,9.64E-06,9.03E-05,0.524379364,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,GCA-900066225,0,0.000283333,0,0,0,0.000276,0.000632,0.000444,0.000532
Otu00623,0.075296262,1.25E-05,0.000110717,0.380891674,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,1.33E-05,7.00E-05,0,0,0,7.60E-05,0.00064,0.000424,0.000524
Otu00033,0.074421181,0.015377284,0.037102987,0.380891674,Bacteria,Spirochaetes,Spirochaetia,Brevinematales,Brevinemataceae,Brevinema,0.00164,0.001876667,0.00795,0.022285,0.024312,0.022244,0.001976,0.001812,0.00052
Otu00692,0.048113516,0.003999191,0.012318378,0.357317873,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,0,0.000243333,7.50E-05,0,0,0.00026,0.000508,0.000504,0.000512
Otu00649,0.777793559,2.36E-07,7.45E-06,0.815552505,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,Clostridiales_vadinBB60_group_ge,7.00E-05,0,0,0,3.60E-05,0.000192,0.00058,0.000496,0.000496
Otu00839,0.379849771,4.40E-05,0.000273334,0.568693491,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,0,0,0,0,2.40E-05,2.80E-05,0.000376,0.00046,0.000492
Otu00908,0.049389252,4.03E-07,1.05E-05,0.357317873,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-013,0,0,0,0,0,8.00E-06,0.000292,0.000276,0.000488
Otu01097,0.032406547,0.007488141,0.020803322,0.357317873,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified,0,0,5.00E-05,0,0,0,0.00046,0.000368,0.000484
Otu00744,0.156858006,2.14E-06,3.13E-05,0.478925025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,9.67E-05,0,0,0,8.00E-06,9.60E-05,0.000296,0.000348,0.000472
Otu00761,0.297140498,3.35E-06,4.06E-05,0.524379364,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pygmaiobacter,0,0,0,1.00E-05,0,8.40E-05,0.000376,0.000312,0.000464
Otu00675,0.188543987,3.49E-05,0.000245311,0.492586774,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallaceae_ge,0,0.00018,2.50E-05,0,0,1.60E-05,0.000576,0.000404,0.00046
Otu00787,0.536518855,0.000532038,0.002385101,0.678799714,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,0,0,1.50E-05,0,0,5.60E-05,0.000432,0.000456,0.000456
Otu00872,0.389964583,0.003446841,0.011237842,0.576183625,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,0,0,0.00011,0,8.00E-06,0,0.000216,0.00032,0.000456
Otu00979,0.035048556,0.002540543,0.008948609,0.357317873,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-014,0,0.000146667,0,0,0,4.00E-06,0.000248,0.000312,0.000456
Otu01176,0.130682068,0.005513108,0.016110527,0.478925025,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,GCA-900066225,0,0,0,0,0,0,1.00E-04,0.00022,0.000456
Otu00790,0.2312702,0.003772009,0.011766251,0.518300728,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,GCA-900066225,4.33E-05,0,0,0,4.40E-05,0.000116,0.000432,0.000304,0.000452
Otu01210,0.478102228,0.017322721,0.041167552,0.643239532,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0,0,0,0,7.60E-05,0.000168,0.000296,0.000452
Otu00767,0.556574114,2.28E-05,0.000173338,0.690466943,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,3.67E-05,7.67E-05,7.00E-05,0,1.60E-05,2.00E-05,0.000436,0.000356,0.000436
Otu00800,0.089163878,0.000567518,0.002526417,0.408371593,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0,0,0,1.20E-05,0.000116,0.000448,0.000476,0.000428
Otu00797,0.052667686,0.000135394,0.000726709,0.358879984,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,uncultured,0.000113333,5.00E-05,0,0,1.20E-05,6.00E-05,0.000316,0.000352,0.000416
Otu01068,0.192372996,9.55E-05,0.000542448,0.493354692,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Anaerovorax,3.33E-06,0,0,0,1.20E-05,2.80E-05,0.000188,0.000292,0.000416
Otu00766,0.368562189,1.49E-05,0.000126191,0.562930642,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0,0,0,0,4.00E-05,0.000608,0.000328,4.00E-04
Otu01081,0.269168953,0.003033202,0.010183814,0.519270583,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Synergistaceae_unclassified,0,0,0,0,4.00E-06,7.20E-05,0.000236,0.000272,4.00E-04
Otu00731,0.264703809,3.61E-05,0.000249059,0.519270583,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,0,0,0,0,2.00E-05,0.000168,0.000524,0.000512,0.000396
Otu00722,0.120775551,0.000156402,0.000822677,0.478925025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,1.33E-05,0.000116667,0,0,1.20E-05,0.000132,0.000472,0.000396,0.000392
Otu00961,0.068956961,1.47E-05,0.000126169,0.380891674,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,1.00E-05,0,0,0,0,2.40E-05,0.000576,0.000392,0.000388
