,Species,Gut_SubSection,Gut_SubSection.padjust,Species.padjust,Kingdom,Phylum,Class,Order,Family,Genus,ST.mean,PC.mean,GI_1.mean,GI_2.mean,GI_3.mean,GI_4.mean,HG_1.mean,HG_2.mean,HG_3.mean
Otu00058,0.071262572,0.002213626,0.00797512,0.380891674,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,9.67E-05,3.67E-05,0,0,4.80E-05,0.000468,0.005908,0.006548,0.006572
Otu00083,0.512634658,3.72E-05,0.000249182,0.661978307,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000396667,0.001236667,0,0,0,0.000304,0.004172,0.004796,0.006392
Otu00089,0.066419523,3.14E-06,3.94E-05,0.380891674,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_unclassified,5.00E-04,0.001546667,3.00E-04,2.00E-05,0.000192,0.001772,0.007976,0.007096,0.006272
Otu00045,0.036521561,0.01436904,0.035099605,0.357317873,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,0.000523333,0.046403333,0.012495,0.003,0.001824,0.003208,0.004432,0.00412,0.006104
Otu00108,0.143307184,3.88E-05,0.000257447,0.478925025,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,8.33E-05,0.000256667,0.000155,0,4.00E-05,0.000516,0.003708,0.00528,0.005744
Otu00104,0.068598194,8.39E-05,0.000483267,0.380891674,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000576667,0.002543333,0.000295,5.00E-05,0.000232,0.001184,0.005684,0.004788,0.005636
Otu00111,0.841972871,1.57E-06,2.48E-05,0.856078087,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae_R-7_group,9.67E-05,0.001463333,0.00057,3.50E-05,0.000168,0.00094,0.00426,0.004512,0.005616
Otu00141,0.05367452,0.000474334,0.002175872,0.358879984,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,0.00017,0.000326667,0,0,0,0.000228,0.003956,0.004496,0.005416
Otu00105,0.008376489,4.29E-06,4.84E-05,0.357317873,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000496667,0.00147,0,0,0.00026,0.00116,0.004552,0.004276,0.005112
Otu00130,0.536845401,1.60E-07,6.61E-06,0.678799714,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,0.000306667,0.00085,0.00035,1.50E-05,0.00026,0.000888,0.0041,0.003948,0.005104
Otu00049,0.054080016,0.008066748,0.021871697,0.358879984,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,0.000213333,0.013186667,0.002155,0.00369,0.007564,0.018816,0.008792,0.00546,0.004692
Otu00090,0.323227749,2.89E-06,3.87E-05,0.539541565,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,dgA-11_gut_group,4.67E-05,0.000306667,0,1.50E-05,0.000144,0.000568,0.00394,0.00358,0.00432
Otu00135,0.347195255,1.29E-05,0.000113491,0.55007441,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.00022,0.00031,0.000405,0,5.60E-05,0.002524,0.004032,0.003796,0.003988
Otu00124,0.203845353,6.01E-06,6.41E-05,0.493355777,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_unclassified,0.00021,0.000376667,0,0,4.00E-05,0.000704,0.003008,0.003232,0.00392
Otu00207,0.234663345,4.21E-05,0.000269569,0.518300728,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,0.000133333,0.000536667,0,0,0,0.000104,0.001728,0.002052,0.00364
Otu00159,0.152014802,0.001677213,0.006242079,0.478925025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.00048,0.00115,4.00E-04,0,5.20E-05,0.001164,0.003556,0.002992,0.003528
Otu00132,0.132270356,0.007550126,0.020901929,0.478925025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacteraceae_unclassified,0.00019,0.000303333,0,0,0,0.000124,0.004828,0.00398,0.003512
Otu00032,0.341948075,0.000414138,0.001944968,0.547255641,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae_unclassified,0.001603333,0.029256667,0.013635,0.02364,0.010148,0.008968,0.003012,0.003292,0.003464
Otu00156,0.236487024,1.55E-05,0.000128503,0.518300728,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured_ge,9.33E-05,0,0,1.50E-05,7.60E-05,0.000328,0.003616,0.003816,0.0034
Otu00174,0.131123796,1.84E-05,0.000148206,0.478925025,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,3.00E-05,0.000753333,3.50E-05,0,5.20E-05,0.000388,0.002512,0.002588,0.003252
Otu00134,0.133224564,3.51E-05,0.000245311,0.478925025,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,Clostridiales_vadinBB60_group_ge,0.000156667,0.000683333,9.00E-05,0,0,0.00062,0.004908,0.004368,0.003244
Otu00211,0.849729887,1.17E-08,1.84E-06,0.861744062,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,0.000206667,0,0.00036,0,0,0.00048,0.002036,0.002308,0.003184
Otu00158,0.308192803,0.005597531,0.016236955,0.530568323,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,0.00041,0.000363333,0,0,0,0.000332,0.003036,0.002904,0.003156
Otu00157,0.820390476,0.002938714,0.009951268,0.840633878,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,Clostridiales_vadinBB60_group_ge,3.00E-05,4.00E-05,6.50E-05,5.00E-06,3.60E-05,0.000528,0.003612,0.0039,0.003028
Otu00027,0.047225031,7.33E-06,7.44E-05,0.357317873,Bacteria,Tenericutes,Mollicutes,DMI,DMI_fa,DMI_ge,0.00061,0.001143333,0.00021,0.00375,0.024432,0.033204,0.011872,0.010248,0.002988
Otu00180,0.575754077,1.76E-07,6.61E-06,0.697803329,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,0.000136667,0.000556667,0.000135,0,8.80E-05,0.000684,0.001992,0.002372,0.002956
Otu00113,0.092422882,6.68E-07,1.46E-05,0.411986745,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,9.33E-05,5.00E-05,0,0,8.40E-05,0.000656,0.003204,0.002728,0.002864
Otu00223,0.302493839,3.63E-05,0.000249059,0.526447862,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,0.00016,0.000193333,5.50E-05,0,9.20E-05,0.00028,0.002268,0.00206,0.002808
