"","OTU","Sample","Abundance","Species","Gut_Section","Species_Gut_Section","Kingdom","Phylum","Class","Order","Family"
"177","Otu00075","Kyphosus vaigiensis_GI",0.000295,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae"
"230","Otu00132","Kyphosus vaigiensis_ST",0.000293333333333333,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae"
"258","Otu00151","Kyphosus vaigiensis_ST",0.000293333333333333,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"198","Otu00088","Kyphosus hawaiiensis_ST",0.00028,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae"
"32","Otu00007","Kyphosus vaigiensis_GI",0.000273333333333333,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"346","Otu00277","Kyphosus vaigiensis_GI",0.000273333333333333,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae"
"299","Otu00230","Kyphosus hawaiiensis_HG",0.00026,"Kyphosus hawaiiensis","HG","Kyphosus hawaiiensis_HG","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured"
"56","Otu00016","Kyphosus cinerascens_ST",0.00026,"Kyphosus cinerascens","ST","Kyphosus cinerascens_ST","Bacteria","Spirochaetes","Spirochaetia","Brevinematales","Brevinemataceae"
"270","Otu00156","Kyphosus vaigiensis_GI",0.000258333333333333,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured"
"412","Otu00395","Kyphosus hawaiiensis_HG",0.000253333333333333,"Kyphosus hawaiiensis","HG","Kyphosus hawaiiensis_HG","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae"
"410","Otu00395","Kyphosus cinerascens_HG",0.00024,"Kyphosus cinerascens","HG","Kyphosus cinerascens_HG","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae"
"376","Otu00339","Kyphosus vaigiensis_GI",0.000235,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
