"","OTU","Sample","Abundance","Species","Gut_Section","Species_Gut_Section","Kingdom","Phylum","Class","Order","Family"
"256","Otu00151","Kyphosus vaigiensis_HG",0.00120222222222222,"Kyphosus vaigiensis","HG","Kyphosus vaigiensis_HG","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"161","Otu00062","Kyphosus cinerascens_GI",0.0012,"Kyphosus cinerascens","GI","Kyphosus cinerascens_GI","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"583","Otu01463","Kyphosus hawaiiensis_ST",0.0012,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae"
"521","Otu00916","Kyphosus vaigiensis_ST",0.00119333333333333,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae"
"136","Otu00057","Kyphosus hawaiiensis_GI",0.00118666666666667,"Kyphosus hawaiiensis","GI","Kyphosus hawaiiensis_GI","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"603","Otu01522","Kyphosus cinerascens_ST",0.00118,"Kyphosus cinerascens","ST","Kyphosus cinerascens_ST","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae"
"457","Otu00508","Kyphosus hawaiiensis_HG",0.00114666666666667,"Kyphosus hawaiiensis","HG","Kyphosus hawaiiensis_HG","Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"196","Otu00088","Kyphosus vaigiensis_ST",0.00114,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae"
"562","Otu01247","Kyphosus cinerascens_HG",0.00114,"Kyphosus cinerascens","HG","Kyphosus cinerascens_HG","Bacteria","Tenericutes","Mollicutes","Mollicutes_unclassified","Mollicutes_unclassified"
"236","Otu00141","Kyphosus vaigiensis_ST",0.0011,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified"
"424","Otu00461","Kyphosus hawaiiensis_GI",0.00108,"Kyphosus hawaiiensis","GI","Kyphosus hawaiiensis_GI","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII"
"527","Otu00967","Kyphosus vaigiensis_ST",0.00107333333333333,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"204","Otu00111","Kyphosus cinerascens_GI",0.00104666666666667,"Kyphosus cinerascens","GI","Kyphosus cinerascens_GI","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae"
"83","Otu00021","Kyphosus cinerascens_ST",0.00102,"Kyphosus cinerascens","ST","Kyphosus cinerascens_ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"310","Otu00236","Kyphosus hawaiiensis_GI",0.001,"Kyphosus hawaiiensis","GI","Kyphosus hawaiiensis_GI","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae"
"520","Otu00916","Kyphosus cinerascens_ST",0.001,"Kyphosus cinerascens","ST","Kyphosus cinerascens_ST","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae"
"54","Otu00015","Kyphosus hawaiiensis_ST",0.00093,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"266","Otu00156","Kyphosus vaigiensis_ST",0.000926666666666667,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured"
"491","Otu00634","Kyphosus hawaiiensis_ST",0.00091,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae"
"600","Otu01522","Kyphosus hawaiiensis_ST",9e-04,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae"
"470","Otu00593","Kyphosus vaigiensis_HG",0.000882222222222222,"Kyphosus vaigiensis","HG","Kyphosus vaigiensis_HG","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae"
"476","Otu00593","Kyphosus vaigiensis_GI",0.00088,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae"
"531","Otu00967","Kyphosus vaigiensis_GI",0.00086,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"446","Otu00497","Kyphosus vaigiensis_GI",0.000843333333333333,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_unclassified"
"356","Otu00278","Kyphosus cinerascens_GI",0.000833333333333333,"Kyphosus cinerascens","GI","Kyphosus cinerascens_GI","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"43","Otu00012","Kyphosus cinerascens_HG",0.000813333333333333,"Kyphosus cinerascens","HG","Kyphosus cinerascens_HG","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae"
"606","Otu01682","Kyphosus cinerascens_HG",8e-04,"Kyphosus cinerascens","HG","Kyphosus cinerascens_HG","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","Bradymonadales_fa"
"321","Otu00238","Kyphosus vaigiensis_ST",0.00078,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"454","Otu00508","Kyphosus vaigiensis_HG",0.000775555555555555,"Kyphosus vaigiensis","HG","Kyphosus vaigiensis_HG","Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"584","Otu01463","Kyphosus vaigiensis_ST",0.000773333333333333,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae"
"561","Otu01247","Kyphosus vaigiensis_HG",0.000771111111111111,"Kyphosus vaigiensis","HG","Kyphosus vaigiensis_HG","Bacteria","Tenericutes","Mollicutes","Mollicutes_unclassified","Mollicutes_unclassified"
"245","Otu00148","Kyphosus cinerascens_GI",0.000746666666666667,"Kyphosus cinerascens","GI","Kyphosus cinerascens_GI","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"306","Otu00230","Kyphosus vaigiensis_HG",0.000735555555555556,"Kyphosus vaigiensis","HG","Kyphosus vaigiensis_HG","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured"
"257","Otu00151","Kyphosus cinerascens_HG",0.000733333333333333,"Kyphosus cinerascens","HG","Kyphosus cinerascens_HG","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"135","Otu00047","Kyphosus hawaiiensis_ST",0.00073,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"598","Otu01522","Kyphosus vaigiensis_ST",0.000726666666666667,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae"
"241","Otu00141","Kyphosus vaigiensis_GI",0.000681666666666667,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified"
"44","Otu00012","Kyphosus vaigiensis_HG",0.000668888888888889,"Kyphosus vaigiensis","HG","Kyphosus vaigiensis_HG","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae"
"575","Otu01270","Kyphosus cinerascens_ST",0.00066,"Kyphosus cinerascens","ST","Kyphosus cinerascens_ST","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae"
"180","Otu00075","Kyphosus vaigiensis_ST",0.00064,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae"
"402","Otu00385","Kyphosus vaigiensis_HG",0.000628888888888889,"Kyphosus vaigiensis","HG","Kyphosus vaigiensis_HG","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae"
"502","Otu00817","Kyphosus hawaiiensis_HG",0.000626666666666667,"Kyphosus hawaiiensis","HG","Kyphosus hawaiiensis_HG","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
