"","Species","Gut_SubSection","Gut_SubSection.padjust","Species.padjust","cluster.index","CF_componentindex","CF_NrNodes","CF_kingdom","CF_kingdom_score","CF_superclass","CF_superclass_score","CF_class","CF_class_score","CF_subclass","CF_subclass_score","CF_Dparent","CF_Dparent_score","CF_MFramework","CF_MFramework_score"
"126",0.222987763230934,1.79927263956699e-06,6.55609968042224e-05,0.650009329818172,126,"2",7,"Organic compounds",1,"Organoheterocyclic compounds",0.493197279,"Carboxylic acids and derivatives",0.298696145,"Amino acids, peptides, and analogues",0.284410431,"Alpha amino acids and derivatives",0.110260771,"Aromatic heteropolycyclic compounds",0.457426304
"141",0.462920897878226,0.00254959455818608,0.0198188483656331,0.840769300162514,141,"5",100,"Organic compounds",0.93,"Organic acids and derivatives",0.288345599,"Carboxylic acids and derivatives",0.271099206,"Amino acids, peptides, and analogues",0.269849206,"Dipeptides",0.112630952,"Aromatic heteropolycyclic compounds",0.295015152
"150",0.411869160174563,0.00210903676763479,0.0186298247807739,0.840769300162514,150,"3",74,"Organic compounds",1,"Lipids and lipid-like molecules",0.826045201,"Prenol lipids",0.390973928,"Diterpenoids",0.1878003,"Diterpenoids",0.119417632,"Aliphatic homopolycyclic compounds",0.268458231
"151",0.145145053420557,1.24379196782835e-05,0.000290052286897572,0.547803593504631,151,"63",50,"Organic compounds",1,"Lipids and lipid-like molecules",0.470212121,"Prenol lipids",0.177018038,"",0.1856443,"Diterpenoids",0.042135642,"Aromatic heteropolycyclic compounds",0.382551948
"153",0.407488058219018,0.00356925084682146,0.0270243278402197,0.840769300162514,153,"28",19,"Organic compounds",1,"Lipids and lipid-like molecules",0.901754386,"Prenol lipids",0.378947368,"Triterpenoids",0.315789474,"Triterpenoids",0.315789474,"Aliphatic acyclic compounds",0.498245614
"154",0.550710303350458,0.00560622834706484,0.0384521308981035,0.840769300162514,154,"5",100,"Organic compounds",0.93,"Organic acids and derivatives",0.288345599,"Carboxylic acids and derivatives",0.271099206,"Amino acids, peptides, and analogues",0.269849206,"Dipeptides",0.112630952,"Aromatic heteropolycyclic compounds",0.295015152
"156",0.123806882135768,1.90318630965436e-05,0.000426752930203266,0.533794944634305,156,"74",4,"Organic compounds",1,"Lipids and lipid-like molecules",0.8,"Glycerolipids",0.34375,"Triradylcglycerols",0.34375,"Triacylglycerols",0.34375,"Aliphatic acyclic compounds",0.46875
"162",0.214351157930388,0.00730644186224296,0.0473295067298628,0.6425762046898,162,"63",50,"Organic compounds",1,"Lipids and lipid-like molecules",0.470212121,"Prenol lipids",0.177018038,"",0.1856443,"Diterpenoids",0.042135642,"Aromatic heteropolycyclic compounds",0.382551948
"167",0.019443207093449,4.38833742604231e-07,2.55220352514203e-05,0.341066549744865,167,"S76",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"169",0.482108605811932,0.00104348090216568,0.0110044114213551,0.840769300162514,169,"83",6,"Organic compounds",1,"Organic oxygen compounds",0.5,"Organooxygen compounds",0.5,"Carbohydrates and carbohydrate conjugates",0.5,"C-glycosyl compounds",0.5,"Aliphatic heteromonocyclic compounds",0.5
