Tree#,Groups,WScore
1,F4_GI_4-F4_HG_2,0.465504
1,F4_HG_1-F4_HG_2,0.097176
1,BLANK2_1_A-F4_HG_3,0.504348
1,F1_GI-F4_HG_3,0.733535
1,F1_HG-F4_HG_3,0.304108
1,F1_PC-F4_HG_3,0.75366
1,F1_STOM-F4_HG_3,0.752501
1,F2_GI-F4_HG_3,0.7073
1,F2_HG-F4_HG_3,0.29555
1,F2_PC-F4_HG_3,0.715435
1,F3_GI-F4_HG_3,0.660665
1,F3_HG-F4_HG_3,0.564534
1,F3_PC-F4_HG_3,0.671355
1,F3_STOM-F4_HG_3,0.734981
1,F4_GI_1-F4_HG_3,0.637229
1,F4_GI_2-F4_HG_3,0.646892
1,F4_GI_3-F4_HG_3,0.618795
1,F4_GI_4-F4_HG_3,0.580119
1,F4_HG_1-F4_HG_3,0.143638
1,F4_HG_2-F4_HG_3,0.16905
1,BLANK2_1_A-F4_PC,0.57973
1,F1_GI-F4_PC,0.446495
1,F1_HG-F4_PC,0.713615
1,F1_PC-F4_PC,0.751119
1,F1_STOM-F4_PC,0.606471
1,F2_GI-F4_PC,0.409571
1,F2_HG-F4_PC,0.690483
1,F2_PC-F4_PC,0.738167
1,F3_GI-F4_PC,0.563013
1,F3_HG-F4_PC,0.678591
1,F3_PC-F4_PC,0.443009
1,F3_STOM-F4_PC,0.601425
1,F4_GI_1-F4_PC,0.393543
1,F4_GI_2-F4_PC,0.605491
1,F4_GI_3-F4_PC,0.53937
1,F4_GI_4-F4_PC,0.578788
1,F4_HG_1-F4_PC,0.502194
1,F4_HG_2-F4_PC,0.427417
1,F4_HG_3-F4_PC,0.48186
1,BLANK2_1_A-F4_STOM,0.734487
1,F1_GI-F4_STOM,0.531138
1,F1_HG-F4_STOM,0.894024
1,F1_PC-F4_STOM,0.829144
1,F1_STOM-F4_STOM,0.316924
1,F2_GI-F4_STOM,0.48774
1,F2_HG-F4_STOM,0.877075
1,F2_PC-F4_STOM,0.835597
1,F3_GI-F4_STOM,0.620141
1,F3_HG-F4_STOM,0.807344
1,F3_PC-F4_STOM,0.652473
1,F3_STOM-F4_STOM,0.491384
1,F4_GI_1-F4_STOM,0.552739
1,F4_GI_2-F4_STOM,0.73846
1,F4_GI_3-F4_STOM,0.723172
1,F4_GI_4-F4_STOM,0.748963
1,F4_HG_1-F4_STOM,0.764642
1,F4_HG_2-F4_STOM,0.733743
1,F4_HG_3-F4_STOM,0.753501
1,F4_PC-F4_STOM,0.5673
1,BLANK2_1_A-F5_GI_1,0.558865
1,F1_GI-F5_GI_1,0.628783
1,F1_HG-F5_GI_1,0.799169
1,F1_PC-F5_GI_1,0.587395
1,F1_STOM-F5_GI_1,0.593624
1,F2_GI-F5_GI_1,0.590597
1,F2_HG-F5_GI_1,0.770559
1,F2_PC-F5_GI_1,0.589822
1,F3_GI-F5_GI_1,0.664054
1,F3_HG-F5_GI_1,0.691804
1,F3_PC-F5_GI_1,0.536397
1,F3_STOM-F5_GI_1,0.540465
1,F4_GI_1-F5_GI_1,0.433803
1,F4_GI_2-F5_GI_1,0.529504
1,F4_GI_3-F5_GI_1,0.53969
1,F4_GI_4-F5_GI_1,0.545291
1,F4_HG_1-F5_GI_1,0.587718
1,F4_HG_2-F5_GI_1,0.558432
1,F4_HG_3-F5_GI_1,0.638816
1,F4_PC-F5_GI_1,0.569395
1,F4_STOM-F5_GI_1,0.612335
1,BLANK2_1_A-F5_GI_2,0.553161
1,F1_GI-F5_GI_2,0.551189
1,F1_HG-F5_GI_2,0.817692
1,F1_PC-F5_GI_2,0.612053
1,F1_STOM-F5_GI_2,0.690297
1,F2_GI-F5_GI_2,0.541036
1,F2_HG-F5_GI_2,0.783787
1,F2_PC-F5_GI_2,0.620451
1,F3_GI-F5_GI_2,0.625467
1,F3_HG-F5_GI_2,0.698012
1,F3_PC-F5_GI_2,0.458886
1,F3_STOM-F5_GI_2,0.627731
1,F4_GI_1-F5_GI_2,0.295889
1,F4_GI_2-F5_GI_2,0.287567
1,F4_GI_3-F5_GI_2,0.253568
1,F4_GI_4-F5_GI_2,0.243569
1,F4_HG_1-F5_GI_2,0.566315
1,F4_HG_2-F5_GI_2,0.515922
1,F4_HG_3-F5_GI_2,0.646558
1,F4_PC-F5_GI_2,0.552616
1,F4_STOM-F5_GI_2,0.695617
1,F5_GI_1-F5_GI_2,0.439765
1,BLANK2_1_A-F5_GI_3,0.577744
1,F1_GI-F5_GI_3,0.661719
1,F1_HG-F5_GI_3,0.750845
1,F1_PC-F5_GI_3,0.697363
1,F1_STOM-F5_GI_3,0.732018
1,F2_GI-F5_GI_3,0.642562
1,F2_HG-F5_GI_3,0.715233
1,F2_PC-F5_GI_3,0.70679
1,F3_GI-F5_GI_3,0.725696
1,F3_HG-F5_GI_3,0.690101
1,F3_PC-F5_GI_3,0.571618
1,F3_STOM-F5_GI_3,0.678916
1,F4_GI_1-F5_GI_3,0.407864
1,F4_GI_2-F5_GI_3,0.269773
1,F4_GI_3-F5_GI_3,0.269455
1,F4_GI_4-F5_GI_3,0.258137
1,F4_HG_1-F5_GI_3,0.525032
1,F4_HG_2-F5_GI_3,0.478598
1,F4_HG_3-F5_GI_3,0.601019
1,F4_PC-F5_GI_3,0.623569
1,F4_STOM-F5_GI_3,0.757749
1,F5_GI_1-F5_GI_3,0.510086
1,F5_GI_2-F5_GI_3,0.238797
1,BLANK2_1_A-F5_GI_4,0.43431
1,F1_GI-F5_GI_4,0.550147
1,F1_HG-F5_GI_4,0.620963
1,F1_PC-F5_GI_4,0.67333
1,F1_STOM-F5_GI_4,0.661667
1,F2_GI-F5_GI_4,0.540844
1,F2_HG-F5_GI_4,0.581956
1,F2_PC-F5_GI_4,0.646354
1,F3_GI-F5_GI_4,0.636598
1,F3_HG-F5_GI_4,0.579598
1,F3_PC-F5_GI_4,0.452573
1,F3_STOM-F5_GI_4,0.610714
1,F4_GI_1-F5_GI_4,0.431293
1,F4_GI_2-F5_GI_4,0.469466
1,F4_GI_3-F5_GI_4,0.430781
1,F4_GI_4-F5_GI_4,0.41211
1,F4_HG_1-F5_GI_4,0.372569
1,F4_HG_2-F5_GI_4,0.323061
1,F4_HG_3-F5_GI_4,0.451552
1,F4_PC-F5_GI_4,0.435914
1,F4_STOM-F5_GI_4,0.694076
1,F5_GI_1-F5_GI_4,0.450638
1,F5_GI_2-F5_GI_4,0.260739
1,F5_GI_3-F5_GI_4,0.284709
1,BLANK2_1_A-F5_HG_1,0.477165
1,F1_GI-F5_HG_1,0.733958
1,F1_HG-F5_HG_1,0.358793
1,F1_PC-F5_HG_1,0.64891
1,F1_STOM-F5_HG_1,0.748243
1,F2_GI-F5_HG_1,0.700747
1,F2_HG-F5_HG_1,0.352177
1,F2_PC-F5_HG_1,0.617379
1,F3_GI-F5_HG_1,0.743711
1,F3_HG-F5_HG_1,0.527118
1,F3_PC-F5_HG_1,0.634211
1,F3_STOM-F5_HG_1,0.730243
1,F4_GI_1-F5_HG_1,0.678088
1,F4_GI_2-F5_HG_1,0.663056
1,F4_GI_3-F5_HG_1,0.652235
1,F4_GI_4-F5_HG_1,0.59646
1,F4_HG_1-F5_HG_1,0.257926
1,F4_HG_2-F5_HG_1,0.27513
1,F4_HG_3-F5_HG_1,0.29155
1,F4_PC-F5_HG_1,0.573435
1,F4_STOM-F5_HG_1,0.791484
1,F5_GI_1-F5_HG_1,0.586791
1,F5_GI_2-F5_HG_1,0.588659
1,F5_GI_3-F5_HG_1,0.526856
1,F5_GI_4-F5_HG_1,0.35676
1,BLANK2_1_A-F5_HG_2,0.494633
1,F1_GI-F5_HG_2,0.74381
1,F1_HG-F5_HG_2,0.338794
1,F1_PC-F5_HG_2,0.660352
1,F1_STOM-F5_HG_2,0.753396
1,F2_GI-F5_HG_2,0.713701
1,F2_HG-F5_HG_2,0.323923
1,F2_PC-F5_HG_2,0.627169
1,F3_GI-F5_HG_2,0.756917
1,F3_HG-F5_HG_2,0.52839
1,F3_PC-F5_HG_2,0.645022
1,F3_STOM-F5_HG_2,0.736622
1,F4_GI_1-F5_HG_2,0.696742
1,F4_GI_2-F5_HG_2,0.681319
1,F4_GI_3-F5_HG_2,0.672091
1,F4_GI_4-F5_HG_2,0.619069
1,F4_HG_1-F5_HG_2,0.246007
1,F4_HG_2-F5_HG_2,0.26763
1,F4_HG_3-F5_HG_2,0.272652
1,F4_PC-F5_HG_2,0.587076
1,F4_STOM-F5_HG_2,0.800723
1,F5_GI_1-F5_HG_2,0.602042
1,F5_GI_2-F5_HG_2,0.61067
1,F5_GI_3-F5_HG_2,0.548717
1,F5_GI_4-F5_HG_2,0.38077
1,F5_HG_1-F5_HG_2,0.055469
1,BLANK2_1_A-F5_HG_3,0.527587
1,F1_GI-F5_HG_3,0.784696
1,F1_HG-F5_HG_3,0.341087
1,F1_PC-F5_HG_3,0.637467
1,F1_STOM-F5_HG_3,0.771181
1,F2_GI-F5_HG_3,0.75501
1,F2_HG-F5_HG_3,0.324502
1,F2_PC-F5_HG_3,0.607929
