"","F1_STOM","F3_STOM","F4_GI_1","F4_GI_2","F4_GI_3","F4_GI_4","F4_HG_1","F4_HG_2","F4_HG_3","F4_STOM","F5_GI_1","F5_GI_2","F5_GI_3","F5_GI_4","F5_HG_1","F5_HG_2","F5_HG_3","F5_STOM","F6_GI_1","F6_GI_3","F6_GI_4","F6_HG_1","F6_HG_2","F6_HG_3","F7_GI_2","F7_GI_3","F7_GI_4","F7_HG_1","F7_HG_2","F7_HG_3","F7_STOM","F8_GI_1","F8_GI_2","F8_GI_3","F8_GI_4","F8_HG_1","F8_HG_2","F8_HG_3","F8_STOM"
"F7_HG_1",0.85853,0.874599,0.830335,0.765609,0.749588,0.693779,0.354303,0.42608,0.354907,0.890476,0.789705,0.706558,0.670458,0.549513,0.394834,0.369513,0.386248,0.664118,0.654179,0.754906,0.589156,0.525709,0.594699,0.543086,0.865631,0.644218,0.553037,0,0.094751,0.143759,0.888876,0.847166,0.808586,0.683065,0.492137,0.240299,0.256282,0.295198,0.796846
"F7_HG_2",0.872696,0.889941,0.855513,0.787638,0.77378,0.719958,0.377144,0.447291,0.361482,0.90989,0.812299,0.732659,0.695848,0.575047,0.393125,0.366831,0.373183,0.687501,0.677111,0.774056,0.5987,0.52606,0.607456,0.559359,0.887831,0.683412,0.592621,0.094751,0,0.066737,0.902138,0.870233,0.830803,0.708557,0.527181,0.235853,0.269351,0.260362,0.814733
"F7_HG_3",0.881975,0.89836,0.872664,0.776294,0.763921,0.730665,0.406016,0.476211,0.384307,0.921936,0.828516,0.761792,0.689265,0.604452,0.407875,0.382119,0.387623,0.706466,0.695604,0.795511,0.612596,0.541114,0.624827,0.577276,0.903329,0.719182,0.626816,0.143759,0.066737,0,0.909859,0.886959,0.847423,0.707343,0.56151,0.258095,0.293816,0.271703,0.827371
"F7_STOM",0.238437,0.435743,0.590691,0.773284,0.76048,0.788601,0.801821,0.772078,0.791476,0.248758,0.632622,0.726866,0.76926,0.716765,0.799555,0.804849,0.822211,0.46877,0.843486,0.866268,0.857474,0.895361,0.83953,0.876375,0.626537,0.837865,0.851878,0.888876,0.902138,0.909859,0,0.69356,0.747273,0.811921,0.855684,0.866885,0.85724,0.874452,0.596383
"F8_GI_1",0.658562,0.613669,0.399834,0.52584,0.49369,0.537689,0.603942,0.525681,0.611914,0.651281,0.29705,0.442397,0.590617,0.490592,0.64497,0.660521,0.695907,0.544589,0.602182,0.759763,0.74595,0.819241,0.747222,0.789608,0.370685,0.694224,0.735281,0.847166,0.870233,0.886959,0.69356,0,0.276,0.631079,0.728867,0.773348,0.741793,0.796491,0.570057
"F8_GI_2",0.707509,0.668765,0.50167,0.514274,0.502061,0.484089,0.585428,0.535149,0.614183,0.708382,0.369266,0.428402,0.558534,0.50142,0.587639,0.608418,0.632481,0.568451,0.544835,0.674382,0.684614,0.770822,0.706149,0.745415,0.46438,0.638207,0.673114,0.808586,0.830803,0.847423,0.747273,0.276,0,0.504774,0.627995,0.727962,0.704283,0.751517,0.575826
"F8_GI_3",0.767205,0.767666,0.462087,0.303225,0.305525,0.290601,0.594261,0.595248,0.692167,0.801594,0.578597,0.317764,0.278298,0.488578,0.589478,0.608513,0.624411,0.578961,0.62857,0.623021,0.622469,0.737163,0.703538,0.715734,0.649349,0.617275,0.647423,0.683065,0.708557,0.707343,0.811921,0.631079,0.504774,0,0.330007,0.649579,0.646452,0.73667,0.691966
"F8_GI_4",0.805706,0.836927,0.553837,0.526169,0.486254,0.398766,0.438497,0.440429,0.534906,0.842905,0.65027,0.424266,0.392667,0.398174,0.445792,0.458552,0.447047,0.535827,0.563413,0.586087,0.500285,0.562272,0.592886,0.5931,0.734858,0.499547,0.422039,0.492137,0.527181,0.56151,0.855684,0.728867,0.627995,0.330007,0,0.44703,0.431354,0.5011,0.732669
"F8_HG_1",0.83244,0.848457,0.759453,0.720649,0.705801,0.656895,0.287947,0.356586,0.314918,0.862558,0.720639,0.675986,0.613087,0.500059,0.324646,0.305857,0.310748,0.591178,0.591466,0.685254,0.523763,0.503382,0.575845,0.538862,0.789405,0.658719,0.574005,0.240299,0.235853,0.258095,0.866885,0.773348,0.727962,0.649579,0.44703,0,0.06716,0.1579,0.75315
"F8_HG_2",0.818806,0.833652,0.73128,0.712289,0.696157,0.646056,0.262749,0.332954,0.290479,0.842355,0.689977,0.665038,0.61451,0.47969,0.316024,0.296157,0.306935,0.573566,0.576307,0.684581,0.509036,0.502934,0.564449,0.531714,0.765148,0.624959,0.550981,0.256282,0.269351,0.293816,0.85724,0.741793,0.704283,0.646452,0.431354,0.06716,0,0.174686,0.726831
"F8_HG_3",0.843071,0.858422,0.817584,0.799611,0.789217,0.740694,0.320084,0.382105,0.292578,0.867362,0.74507,0.765645,0.694724,0.554444,0.313129,0.287897,0.288272,0.618373,0.609941,0.706631,0.524906,0.459865,0.550019,0.527241,0.818217,0.647169,0.551841,0.295198,0.260362,0.271703,0.874452,0.796491,0.751517,0.73667,0.5011,0.1579,0.174686,0,0.770413
"F8_STOM",0.529095,0.474015,0.610359,0.632278,0.629314,0.653147,0.647015,0.600122,0.641293,0.673663,0.566772,0.565124,0.610798,0.534339,0.628641,0.637975,0.67767,0.583697,0.66466,0.725893,0.726596,0.779377,0.718327,0.753131,0.605248,0.749866,0.744518,0.796846,0.814733,0.827371,0.596383,0.570057,0.575826,0.691966,0.732669,0.75315,0.726831,0.770413,0
