"","F1_GI","F1_HG","F2_GI","F2_HG","F3_GI","F3_HG","F4_GI_1","F4_GI_2","F4_GI_3","F4_GI_4","F4_HG_1","F4_HG_2","F4_HG_3","F5_GI_1","F5_GI_2","F5_GI_3","F5_GI_4","F5_HG_1","F5_HG_2","F5_HG_3","F6_GI_1","F6_GI_3","F6_GI_4","F6_HG_1","F6_HG_2","F6_HG_3","F7_GI_2","F7_GI_3","F7_GI_4","F7_HG_1","F7_HG_2","F7_HG_3","F8_GI_1","F8_GI_2","F8_GI_3","F8_GI_4","F8_HG_1","F8_HG_2","F8_HG_3"
"Otu00137",0,0.03322,0,0.00484,0,0,0,0,0,0,0.00444,0.0056,0.0146,0,0,0.00052,0.00144,0.00372,0.00424,0.00498,0,0,0,0,0,0,0,0,0,0.00078,0.00112,0.001,0,0,0,0.0014,0.00632,0.00532,0.0137
"Otu00139",0,0,0,0,0,0,0.00076,0.00286,0.00142,0.01186,0.00094,0.001,0,0,0.00156,0.00434,0.00426,0.00054,0.00038,0,0,0,0,0,0,0,0,0.02114,0.01608,0.00042,0,0,0,0,0.00078,0.0033,0,0,0
"Otu00140",0,0.00082,0,0,0,0,0.00214,0.00494,0.00476,0.01362,0.00368,0.00324,0.00054,0,0.00394,0.00764,0.00636,0.00056,0.00036,0.00024,0,0.00016,0,0,0,0,0,0.00242,0.00322,0,0,0,0,0,7e-04,0.00664,0,0,0
"Otu00141",0,0.00456,0,0.00454,0,0,0,0,0,0,0.0044,0.00286,0.00932,0,0,0,0.00014,0.00044,0.00046,3e-04,0,0,0,0,0,0,0,0,0.00044,0.01208,0.0156,0.01444,0,0,0,0.00056,0.00286,0.00356,0.00302
"Otu00142",0,0,0,0.00038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01142,0.04458,0.00446,0.00112,9e-04,0,0,0,0,0,0,0
"Otu00147",0,0,0,0.00164,0,0.00502,0,0,0,0,5e-04,5e-04,0.00124,0,0,0,0,0.00036,0.00024,0,0.00206,0,0.00152,0.00576,0.00814,0.00732,0,0,0,0.0013,0.00192,0.00136,0,0,0,0,0.00052,0.00094,0.0011
"Otu00148",0,0.00666,0,0.0121,0,0.00076,0,0,0,0,0.00216,0.0014,0.00134,0,0,0.00024,0.00084,0.00218,0.00264,0.0034,0.00062,0,8e-04,0.0014,0.00034,0.0016,8e-05,0,0,0.0017,0.00214,0.00214,0,6e-05,2e-05,0.00052,0.00442,0.00382,0.00212
"Otu00151",0,0.00206,0,0.0012,0,8e-05,0,0,0,0,0.00126,0.00122,0.00076,0,0,8e-05,0.00022,0.00062,0.00076,0.00058,0.00098,0,0,4e-04,0.00028,0.00152,0,0,8e-05,0.00404,0.00336,0.0031,0.00014,0,0,0.00026,0.00252,0.00218,0.00092
"Otu00154",0,0,0,0.00232,0,0,0,0,0,0,0,0,0,0,0,0.00028,0.00066,0.00178,0.00128,0.00256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016,0.00588,0.01538,0.01108,0.01646
"Otu00156",0,0.0038,0,0.00192,0,0,0,0,0,0,0.00172,0.00188,0.00232,0,0,0.00038,0.00124,0.00484,0.00606,0.0053,0,0,0,0,0,0,6e-05,0,0.00014,0.01034,0.01022,0.00894,0,0,0,0.00026,0.00118,0.00092,0.00044
"Otu00157",0,0.00146,0,0,0,0.00312,0,0,0,0,0,0,0,0,2e-05,0.00018,0.00054,0.00182,0.00236,0.00176,0.00026,0,0,0.00034,0.00116,0.00298,0,0,0,9e-04,7e-04,9e-04,0,0,0,0.0021,0.015,0.01528,0.0095
"Otu00158",0,0.0083,0,0.00564,0,0,0,0,0,0,0.00372,0.0039,0.00392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00338,0.00348,0.0045,0,0,0,0.00166,0.00808,0.00714,0.00736
"Otu00159",0,0.03342,0,0.0043,0,8e-05,0,0,0,0,0.0097,0.0071,0.0112,0.00104,0,0.00026,0.00072,0.00166,0.00236,0.0014,0.00056,0,0.00382,0.00118,0.00024,0.00012,0,0,0,0.00156,0.00136,0.00096,0,0,0,0.00128,0.00368,0.0039,0.00396
"Otu00162",0,7e-04,0,0.00078,0,0,0,0,0.00154,0.00168,0.00084,0.00064,0,0,0.00216,0.00128,0.001,2e-05,0.00054,0,0,0,0,0,0,0,0,0.00766,0.02492,0.00364,0.00122,0.00088,0,0,0.00366,0.00392,0.00046,0.00068,0.00022
"Otu00163",0,0.00112,0,0.00116,0,0,0,0,0,0,0.00144,0.00068,0.001,0,0,0,0.00034,0.00062,0.00082,0,0,0,0,0,0,0,0,0,0,0.00732,0.00486,0.00496,0,0,0,0.00114,0.00294,0.00302,0.0033
"Otu00164",0,0,0,0,0,0.00026,0,1e-04,0.00028,0.00116,0.00028,0.00034,0,0,0.0019,0.00134,0.00064,0.00034,0.00044,0.00038,0.00376,0.0515,0.00488,0.00202,0.00054,0,0.00042,0,0,0,0,0,0,3e-04,0.00064,0,0,0,0
"Otu00165",0,0,0,0,0,0,0.00032,0.00096,0.00324,0.00344,0.00458,0.00466,0.00056,0,2e-05,4e-05,3e-04,3e-04,2e-04,0.00034,0,0,0,0,0,0,0,0.01032,0.01012,0.00058,2e-04,0,0,0,0.00728,0.009,0.00088,0.00136,0.00032
"Otu00166",0,0,0,0,0,0,0,0,0.00036,0.00088,0.00124,0.00166,0,0,0.00044,0.00062,0.00038,0,0,0,0,0.00296,0,0,0,0,0,0.00552,0.02524,0.00134,0.00062,0,0,0,0.00206,0.00832,0.00072,0.00072,0
"Otu00167",0.01174,0,0,0,0.0011,0,8e-05,1e-04,0,0,0,0,0,0,0,0.00014,0.00052,0.00104,0.00102,0.00074,0,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00169",0,0,0,0,0,0,0.00298,0.01386,0.01464,0.00726,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02724,0.0042,0,0,0
"Otu00171",0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0.00282,0.03976,0.00586,0.00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00174",0,0.00408,0,0.0048,0,0,0,0,0,0,0.00082,9e-04,0.00126,0,0,0.00026,0.00092,0.00232,0.00216,0.0031,0,0,0,0,0,0,0,0,0,0.00252,0.00336,0.0041,0.00014,0,0,0.00102,0.0069,0.00652,0.0078
"Otu00175",0,0.0019,0,0.0056,0,0.00028,0,0,0,0,0.00238,0.00162,0.00186,0,0,0.00028,0.00066,0.00154,0.00212,0.0014,0,0,0,0,0,0,0,0,0.00018,0.00328,0.0047,0.0045,0,0,0,0.00086,0.00304,0.00216,0.00468
"Otu00176",0,0,0,0,0,0,0,0,0,0.00042,0.00066,0.00056,0,0,4e-04,0.00026,0.00016,0,0,0,0,0,0,0,0,0,0,0.01298,0.03276,0.00438,0.00138,0.00076,0,0,0,0.00052,0,0,0
"Otu00180",0,0.00604,0,0.00222,0,0.00092,0,0,0,0,0.00136,0.00118,0.00304,3e-04,0,0.00044,0.0012,0.00258,0.00342,0.00404,0,0,0.0017,0.00144,8e-04,0.00084,0,0,6e-05,0.0015,0.00348,0.00338,0.00024,0,0,0.00046,0.00308,0.00298,0.00348
"Otu00181",0,0.00612,6e-05,0.00416,0,0,0,0,0,0,0.00644,0.00654,0.00734,0,0,0,0.00018,4e-04,0.00058,0.00034,0,0,0.00182,0.00092,0,0,0,0,0.00012,0.0037,0.00218,0.00234,0,0,0,0,0.00074,0.00162,0.00226
"Otu00182",0,0.00152,0.00016,0.00908,0,0,0,0,0,0,0.00042,0.00028,0.00044,0.00076,8e-05,8e-04,0.00252,0.0077,0.00626,0.00832,0.00024,0,0,0,0,0,0.00014,0,0,0.00072,0.00092,0.00102,0,0,0,0.0013,0.00426,0.00358,0.00416
"Otu00183",0,0.00072,0,0,0,0,1e-04,6e-05,6e-04,0.00784,0.00178,0.00172,0,0,0.00246,0.00574,0.00566,4e-04,0.00036,0.00018,0,0,0,0,0,0,0,0.00298,0.00224,9e-04,0.00052,0,0,0,0.00212,0.00846,0.00056,0.00092,0.00014
"Otu00185",0,0.0058,0,0.00416,0,8e-05,0,0,0,0,0.00126,0.0013,0.00096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0.00318,0.00336,0.00376,0,0,0,4e-04,0.00136,0.00112,0.00128
"Otu00187",0,0.00652,0,0.00584,0,0,0,0,0,0,0.0026,0.00182,0.00246,0,0,3e-04,0.001,0.0017,0.00224,0.00162,0,0,0,0,0,0,0,0,0,0.0027,0.00236,0.0021,0,0,0,0.00104,0.00308,0.00264,0.00312
"Otu00188",0,0.00028,0,1e-04,0,0.00018,0,0,0.00028,0.00264,0.00274,0.00288,0.00032,0,0.00028,0.00116,0.0013,0.00054,0.00072,0.00056,0.00064,0.02244,0.00992,0.00292,8e-05,0,0,0.00028,0.00182,0.00032,2e-04,1e-04,0,0,6e-04,0.0031,0.00108,0.00134,6e-04
"Otu00189",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024,0,0.00092,0.00434,0.01296,0.01672,0.01192,0,0,0,0,0,0,0,0,0,0,0.00014,0.00022,0,0,0,0,0.00018,0.00036,0.00046
"Otu00190",0,0.00382,0,0.00344,0,0,0,0,0,0,0.00282,0.00186,0.00346,0,0,0.00042,0.0012,0.00248,0.00322,0.00248,0,0,0,0,0,0,0,0,0,0.00442,0.00414,0.0043,0,0,0,0,0.00052,0.00086,0.00048
"Otu00192",0,0,0,0,0,0,0.00046,0.00188,0.00092,0.00234,0,0,0,0,0.00132,0.00176,0.00086,0,0.00026,0,0,0.00294,0.00066,0,0,0,0,0.01864,0.00962,0.00076,0.00084,0.00058,0,0,0.00016,0.0043,0,0,0
"Otu00194",0,0.0018,0,0.00068,0,0,0,0,0,0,0.00106,0.00126,0.0025,0,0,0,9e-04,0.0018,0.002,0.00154,0,0,0,0,0,0,0,0,0.00086,0.01172,0.00784,0.00868,0,0,0,0,4e-05,0.00046,6e-04
"Otu00196",0,0,0,0.00028,0,0,0,0,0,2e-04,0.00052,0.00068,0.00024,0,0,0.00046,0.00024,0.00034,0.00032,0.00042,0,0,0,0,0,0,0.00052,0.00544,0.00426,0.00188,0.00112,0.001,0,0.02416,0.00572,0.00054,0,0,0
"Otu00199",0,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0.0039,0.01342,0.00874,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00200",0,0.00368,0,0.003,0,0,0,0,0,0,0.00186,0.00138,0.00206,0,0,0.00028,0.00074,0.00232,0.002,0.00222,0,0,0,0,0,0,0,0,0,0.00404,0.00466,0.0028,0,0,0,0.00066,0.00176,0.00144,0.00206
"Otu00201",0,0,0,0.01968,0,0,0,0,0,0,0.00188,0.00174,0.00324,0,0,0,0,0,0.00068,0.001,0,0,0,0,0,0,0,0,0,0,4e-04,0,0,0,0,0.0013,0.0037,0.0029,0.00748
"Otu00202",0,0,0,0,0,0,0,0.00278,0.0016,0.00158,0.00076,0,0.00054,0,0,0.00044,0,0,0,0,0,0,0,0,0,0,5e-04,0.02262,0.00502,0.00234,0.00144,0.00066,0,0,0.00282,0.0021,0,0,0
"Otu00203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095,0.03458,0.00888,0,0,0,0,0,0,0,0,0,0,0.01716,0.00474,0.00018,0,0
"Otu00204",0,0,0,4e-05,0,0.00324,0,0,0,0,0.00036,0,0,0,0,0,0,0,0.00044,3e-04,0.00196,0,0.00224,0.00346,0.01238,0.0084,0,0,0,5e-04,0.00134,0.0015,0,0,0,0,0,0,0.00088
"Otu00205",0,0,0,0,0,0.0221,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-04,0,0.00192,0.01714,0.0028,0.00416,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00207",0,0,0,0,0,0,0,0,0,0,0.00256,0.00218,0.00358,0,0,0,0.00028,0.00144,0.0023,0.00336,0,0,0,0,0,0,0,0,0.00024,0.00418,0.0057,0.0101,0,0,0,0,0.00046,8e-05,0.00116
"Otu00208",0,0.00046,0,0.00058,0,0.00054,0,0,0,0,0.00094,0.00076,0.00098,0,0,0.00012,0.00036,0.00148,0.00162,0.00102,0.00126,0,0.00138,0.0033,0.00052,0.00076,0,0,0,0.00058,0,0,0,0,0,0.00174,0.0068,0.0049,0.00532
"Otu00209",0,0,0,0,0,0,0,0,0,0.00046,0.00032,0,0,0.00072,0.00596,0.00748,0.00432,0.00098,0.00074,0.00054,0,0.01412,0.00148,0.00056,4e-05,0,0,0,0,0,0,0,0,0,0,0.00312,0,0,0
"Otu00210",0,0,0,0.01152,0,0,0,0,0,0,0.00114,0.0012,7e-04,0,0,0.00022,0.00062,0.0011,0.00086,0.00184,0,0,0,0,0,0,0.00022,0,0,0.00082,0.00254,0.00302,0,0,0,0.00052,0.00222,0.00216,0.00278
"Otu00211",0,0.00274,0,0.0053,0,0.00218,0,0,0,0,0.00238,0.00264,0.00548,0,0,0,0.00044,0.00138,0.00102,0.00174,0.00144,0,0.00086,0.00144,0.00078,0.00062,0,0,2e-04,0.00136,0.0037,0.00396,0,0,0,9e-04,0.00362,0.0034,0.00412
"Otu00212",0,0.00738,0,0,0,0,0,0,0,0,0.00072,0,0,0.00052,0,0.00126,0.00416,0.00952,0.01098,0.00806,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0.00142,0.00172,0.0013
"Otu00213",0,0.00022,0,0,0,0,0,0,0,0,0.00152,0.0013,0.00214,0,0,0,0.00042,0.00174,0.00234,0.00202,0,0,0,0,0,0,0,0,0,0.00216,0.00442,0.00386,0,0,0,0,0.00164,0.00158,0.00164
"Otu00214",0,0.00064,0,0,0,0,0.00166,0.00406,0.0029,0.00524,0.0019,0.00242,0,0,0.00094,0.00176,9e-04,0,0,0,0,0,0,0,0,0,0,0.0051,0.00152,0,0,0,0,0,0.0023,0.00396,0,0.00044,0
"Otu00215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.01148,0.01414,0.00822
"Otu00218",0,0.00074,0,0.00252,0,0.00022,0,0,0,0,0.00068,0.00078,0.00052,0,8e-05,0.00028,8e-04,0.00318,0.00276,0.0039,0,0,0,0,6e-05,2e-04,1e-04,0,0.00012,0.0023,0.0031,0.00352,0,0,0,0.00062,0.00364,0.00352,0.0035
"Otu00222",0,0.00664,0,0.00144,0,0,0,0,0,0,0.00342,0.00234,0.00224,0.00054,0,0.00064,0.00128,0.00254,0.00274,0.00198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00096,0.00082,0.00044
"Otu00223",0,0.00106,0,0.0022,0,0,0,0,0,0,0.00146,0.00138,0.00224,0,0,0.00046,0.0011,0.00368,0.00284,0.00422,0,0,0,0,0,0,0,0,0.00014,0.00598,0.00554,0.00684,0.00022,0,0,0.00016,0.00022,0.00054,0.00074
"Otu00224",0,0,0,0,0,0,0,0,3e-04,0.00052,3e-04,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024,0.00708,0.00928,0.01174,0,0,0,0.00048,0.00838,0.00516,0.00086
"Otu00227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00244,0.00248,3e-04,0,0,1e-04,0.0063,0.0126,0.00328,0.00264,0.0015,0,0.00294,0,0,0,0,0
"Otu00230",0,0,0,0,0,0,0.00614,0.01374,0.00304,0.0038,0.00044,0.00036,0.00026,0.00082,0,0.0025,0.00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0,0
"Otu00232",0,0.00066,0,0.00206,0,0,0,0,0,0,0.0023,0.00238,0.0053,0,0,0,5e-04,0.00138,0.0022,0.00152,0,0,0,0,0,0,0,0,0,0.00422,0.00394,0.004,0,0,0,0,0,0,3e-04
"Otu00234",0,0,0,0,0,0.00228,0,0,0,0,0,0,0,0,0,0,0,0,0.00048,0,0.00296,0,0.00322,0.00556,0.00536,0.00534,0,0,0,0,0,0,0,0,0,0,0,0,0.00024
"Otu00237",0,0.0088,0,0,0,0,0,0,0,0,0.00134,0.00114,0.00158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,0.00732,0.00806,0.00716
"Otu00238",0,0.00112,0,0.00174,0,1e-04,0,0,0,0,0.00222,0.00164,0.004,0,0,0,5e-04,0.0012,0.00142,0.00172,0,0,0,0.00034,0.00032,0.00022,0,0,0.00018,0.00294,0.00304,0.00314,0,0,0,0.00066,0.00288,0.00284,0.00236
"Otu00239",0,0,0,0.00096,0,0,0,8e-05,2e-05,4e-04,0.00138,0.0016,0.00058,0,1e-04,0.00036,0.00056,0.00136,0.0016,0.00178,0,0.00512,0.00104,0,0,0,0,0.00258,0.0036,0.0013,0.00142,0.00082,0,0.0093,8e-04,0.00062,0.00028,0.00046,0
"Otu00240",0,0,0,0,0,0,0,0,0,0.0018,5e-04,0,0,0.00074,0.00192,0.00288,0.00196,0.00052,0.00024,0.00032,0,0,0,0,0,0,0,0.00886,0.01122,0.00076,0,0,0,0.00014,0,0.0017,0,0,0
"Otu00241",0,0,0,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066,0.02836,0.02162,0.00018,0.00038,0.00026,0,0,0.00038,0,0,0,0
"Otu00242",0,4e-05,0,0.00086,0,0,0,0,0,0,0.00018,0.00024,0.00012,0,0,0,0,0.00014,0.00018,0.00018,0,0,0,0,0,0,0,0,0,4e-04,0.00012,0.00026,0,0,0,0.00164,0.01134,0.0145,0.00832
"Otu00245",0,0.00026,0,0.0041,4e-05,0,0,0,0,0,5e-04,0.00036,0.00108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-05,0.0065,0.00814,0.00832,0,0,0,0,0.00026,0.00018,0.00032
"Otu00246",0,0.00156,0,0.01226,0,0,0,0,0,0,0.00048,4e-04,0.00066,0,0,4e-05,0.00048,8e-04,0.0012,0.001,0,0,0,0,0,0,0,0,0.00034,0.00534,0.00412,0.00412,0,0,0,0,1e-04,2e-05,6e-05
"Otu00247",0,0.00076,0,0.00132,0,0,0,0,0,0,0.00098,0.00106,0.00138,0,0,4e-04,0.0014,0.00274,0.0051,0.00472,0,0,0,0,0,0,0,0.0016,0.0019,0.0012,0.00078,0.00058,0,0.00232,0.00036,0.00046,0.00152,0.00116,0.00254
"Otu00249",0,0,0,0.00108,0,0,0,0,0,0,0.00622,0.005,0.00522,0,0,0.00026,0.00074,0.00186,0.00138,0.00104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066,0.00074
"Otu00250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-05,0.00028,0.0066,0.00748,0.00688,0,0,0,0,0,0,0
"Otu00252",0,0.00252,0,0.00236,0,0.00022,0,0,0,0,0.0033,0.00326,0.00298,0,0,3e-04,6e-04,7e-04,0.00128,0.00084,0.00056,0,0.00032,2e-04,0,0.00014,0,0,0,0.0017,0.00142,0.0015,0,0,0,0,0.00022,0,0
"Otu00254",0,0,0,0,0,0.00076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308,0,0.00088,0.01526,0.00814,0.00876,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00257",0,0.00032,0,0,0,0,0.00048,0.00244,0.00276,0.00156,0.00036,0.00044,0,0,0.00076,0.0025,0.00116,0,0,0,0,0.00042,0,0,0,0,0,0.01518,0.00158,0.00062,0.00024,0,0,0,0.00556,0.0051,4e-04,0.00062,0.00034
"Otu00259",0,0,0,0,0,0,0.00182,0.00766,0.00486,0.00324,0,0,0,0.00042,0.0027,0.00638,0.00112,0,0,0,0,0,0,0,0,0,4e-05,0,0,0,0,0,0,0,0.00734,0.00164,0,0,0
"Otu00261",0,0.00452,0,0.00278,0,0,0,0,0,0,0.00166,0.00118,0.00154,0,0,0.00022,0.00132,0.00188,0.00254,0.00194,0,0,0,0,0,0,0,0,0,0.00302,0.00198,0.0022,0,0,0,0.00118,0.00204,0.00266,0.00224
"Otu00263",0,0,0,0,0,0.0095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042,0,0.00212,0.0078,0.00302,0.00228,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00264",0,0.00066,0,0.00104,0,0,0,0,0,0,0.00064,5e-04,0.0012,0,0,0.00022,0.0011,0.00198,0.00286,0.002,0,0,0,0,0,0,0,0,0,0.0019,0.00244,0.00282,0,0,0,0.00046,0.0013,0.00116,0.00134
"Otu00265",0,0.00046,0,0.0023,0,0,0,0,0,0,0.00042,3e-04,3e-04,0.00016,0,3e-04,0.0014,0.00276,0.00276,0.00344,0,0,0,0,0,0,0,0,0,0.00014,0.00044,0.00046,6e-05,0,0,0.00174,0.00628,0.00466,0.00598
"Otu00267",0,0,0,0,0,0.00344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00094,0,0.00564,0.00444,0.00082,0.00112,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00268",0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0.00542,0.0051,0.00488,0,0,0,0,0.0012,9e-04,0.00038
"Otu00270",0,0.00178,0,0.0029,0,0,0,0,0,0,4e-04,0.00058,0.00032,0.00034,0,0,0.00016,0.00028,0.00038,0.00028,0,0,0,0,0,0,0,0,0.00012,0.00122,0.00086,7e-04,0,0,0,0.00108,0.00692,0.00588,0.00348
"Otu00272",0,0,1e-04,0,0,0.00584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276,0,0.00024,0.00862,0.01172,0.01074,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00273",0,0.0022,0,0.00096,0,0.00026,0,0,0,0,0.00242,0.0027,0.00288,0,0,0.00014,0.00046,0.00144,0.00126,0.0017,0.00036,0,0.00044,0.00054,8e-05,0.00018,0,0,0,0.00166,0.0014,0.00136,0,0,0,0.00022,0.00122,0.00096,0.00084
"Otu00274",0,0.00244,0,0.00342,0,0,0,0,0,0,0.00098,0.00072,0.00114,0,0,0,0.00024,0.00122,0.00106,0.00078,0,0,0,0,0,0,0,0,0.00036,0.0016,0.00264,0.00246,0,0,0,0,0.001,0.00106,0.0012
"Otu00276",0,0,0,0,0,0.00044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00388,0,0.00018,0.00508,0.008,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00278",0,0.00148,0,2e-04,0,0.00052,0,0,0,0,0.00052,6e-04,0.00094,0.00024,0,0.00054,0.00224,0.00378,0.00468,0.00508,0,0,0,0,0.00038,0.00068,2e-05,0,0,0.00114,0.0015,0.00142,0,0,0,2e-04,0.00068,0.00056,0.00156
"Otu00279",0.01452,0,0.00944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108,0.00104,0.00154,0,0.00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00280",0,0.0021,0,0.00148,0,0,0,0,0,0,0.00336,0.00178,0.00208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012,0.00306,0.00276,0.00272,0,0,0,0,0.00032,0.00014,2e-04
"Otu00281",0,0,6e-05,0,0,3e-04,8e-05,0,0,0.00032,0,0,0,0.00036,0.00066,0.00064,0.00048,0,0,0,0,0.02692,0.00148,6e-04,6e-04,0.00062,0,0,0,0,0,0,0,0,0.00088,0.00098,0.00012,4e-04,0.00016
"Otu00282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144,0,0,0.00618,0.00666,0.01124,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00284",0,0.00132,0,0.00136,0,4e-05,0,0,0,0,0.00148,0.001,0.00192,0,2e-05,0.00012,0.00024,6e-04,0.00088,0.00064,0.00042,0,0.00022,0.00234,0.00068,0.00142,0,0,0,6e-04,0.00038,0.00066,0,0,0,0.00068,0.00494,0.0053,0.0029
"Otu00285",0,0.00026,0,0,0,0,0.00456,0.0082,0.00096,0.00118,8e-05,0.00012,8e-05,0.00132,0.00298,0.00388,0.00076,0.00044,3e-04,0.00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-04,0,0,0
"Otu00287",0,0,0,0.00572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012,0.00434,0.00512,0.00528,0,0,0,0,0.00044,5e-04,0.00034
"Otu00288",0,0,0,5e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00502,0.00736,0.00388,0.0021,0.00098,0,0,0,0,0,0,0
"Otu00289",0,0.00076,0,0.00234,0,0,0,0,0,0,0.0013,0.00086,0.0025,0,0,0,0,0,0,0,0.00014,0,0,0,0.00026,0.00022,0,0,0.00014,0.00456,0.00578,0.0046,0,0,0,8e-05,0.00026,0.00024,0.00038
"Otu00290",0,0.0039,0,0.00342,0,0,0,0,0,0,0.00476,0.0039,0.00342,0,0,0,0,0,0,0,0,0,0,0,8e-05,6e-05,0,0,0,9e-04,0.00074,0,0,0,0,0,0.00216,0.0021,0.00078
"Otu00291",0,0,0,0,0,0.00198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246,0,0.00658,0.00774,0.00116,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00292",0,0,0,0,0,0,0.00016,0.00086,0.00092,0.00366,5e-04,0.00056,8e-05,0.00104,0.00298,0.01146,0.00198,0.00022,2e-04,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00295",0,0,0.00164,0,0.00018,0.0028,0,0,0,0,0,0,0,0.00062,0,0,0,0,0,0,0.00628,0.00828,0.00372,0.00264,0.00086,0.00132,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00296",0,0,0,0,0,0,0,0,2e-05,4e-05,0.00116,0.00232,0,0.00074,0.0011,0.00098,0.00048,0,0,0,0,0.00108,0.00088,0,0,0,0,0.006,0.0083,0.00142,0,0,0,0,0.00228,0.0043,2e-05,4e-05,0
"Otu00298",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114,0.0106,0.01254,0.00216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00299",0,0,0,0,0,0,4e-05,8e-05,0.00048,0.00108,0.009,0.00734,0.00098,0,0,8e-05,0.00014,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092,0.00118,1e-04,0.00014,6e-05
"Otu00300",0,0.00014,0,0.00126,0,0.00104,0,0,0,0,0.00052,0.00044,0.00044,0,0,0.00034,0.00134,0.00372,0.0031,0.00412,3e-04,0,1e-04,0.00046,2e-04,6e-04,0,0,0,0.00178,0.00214,0.0035,0,0,0,0.00016,0.00058,0.00042,0.00058
"Otu00301",0,0.00204,0,0.00188,0,0,0,0,0,0,6e-04,0.00048,0.00076,4e-04,0,0,0.00018,0.00046,0.00052,3e-04,0,0,0,0.00016,0.00068,0.00134,0,0,0.00014,0.00458,0.00424,0.00508,0,0,0,0.00046,0.00198,0.00208,0.00124
"Otu00303",0,0.0018,0,0.00026,0,0,0,0,0,0,0.00044,6e-04,0.00082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058,0.00082,0.00078,0,0,0,0.00162,0.00508,0.00444,0.0059
