SampleCode,Sample_Type_Broad,RobCode,Fish_Number,Species,Gut_Section,Gut_SubSection,Culture_Media
R1_2_3,Culture,G_III_NaAc,F7,Kyphosus hawaiiensis,GI,GI_2,NaAc
R1_20,Culture,G_II_Cel,F1,Kyphosus cinerascens,GI,GI_1,Cellulose
R1_21,Culture,Seaweed_No_Inoc,NoFish,,No_Inoc,No_Inoc,Mix_Seaweed
R1_22,Culture,NaAc_No_Inoc,NoFish,,No_Inoc,No_Inoc,NaAc
R1_23,Culture,G_II_Control,F1,Kyphosus cinerascens,GI,GI_1,Control (Seawater)
R1_24,Culture,G_II_F1_SW_X,F1,Kyphosus cinerascens,GI,GI_1,Mix_Seaweed
R1_25_A,Culture,G_II_F1_SW,F1,Kyphosus cinerascens,GI,GI_1,Mix_Seaweed
R1_26,Culture,Fish_7_G_III_Control,F7,Kyphosus hawaiiensis,GI,GI_2,Control (Seawater)
R1_27,Culture,F7_G_VIII_SW,F7,Kyphosus hawaiiensis,HG,HG_3,Mix_Seaweed
R1_28,Culture,Fish_7_G_VIII_Control,F7,Kyphosus hawaiiensis,HG,HG_3,Control (Seawater)
R1_29,Culture,seaweed+seawater_control,NoFish,Kyphosus hawaiiensis,No_Inoc,No_Inoc,Mix_Seaweed
R1_3,Culture,Sea_Water_Control,NoFish,,No_Inoc,No_Inoc,Control (Seawater)
R1_30,Culture,F7_G_II_SW,F7,Kyphosus hawaiiensis,GI,GI_1,Mix_Seaweed
R1_31,Culture,F7_G_VII_SW,F7,Kyphosus hawaiiensis,HG,HG_2,Mix_Seaweed
R1_32,Culture,Fish_7_G_VI_control,F7,Kyphosus hawaiiensis,HG,HG_1,Control (Seawater)
R1_33,Culture,F7_G_VII_NaAc,F7,Kyphosus hawaiiensis,HG,HG_2,NaAc
R1_34_A,Culture,F7_GVIII_NaAc,F7,Kyphosus hawaiiensis,HG,HG_3,NaAc
R1_35_A,Culture,Fish_7_G_IV_control,F7,Kyphosus hawaiiensis,GI,GI_3,Control (Seawater)
R1_36,Culture,fish_7_G_I_control,F7,Kyphosus hawaiiensis,ST,ST,Control (Seawater)
R1_37,Culture,fish_7_G_V_control,F7,Kyphosus hawaiiensis,GI,GI_4,Control (Seawater)
R1_37_A,Culture,fish_7_G_V_control,F7,Kyphosus hawaiiensis,GI,GI_4,Control (Seawater)
R1_38_A,Culture,F7_G_III_SW,F7,Kyphosus hawaiiensis,GI,GI_2,Mix_Seaweed
R1_39,Culture,F7_G_VI_NaAc,F7,Kyphosus hawaiiensis,HG,HG_1,NaAc
R1_4,Culture,Fish_7_G_I_SW,F7,Kyphosus hawaiiensis,ST,ST,Mix_Seaweed
R1_40,Culture,seawater_No_Inoc,NoFish,,No_Inoc,No_Inoc,Control (Seawater)
R1_41,Culture,G_IV(?)_control,F7,Kyphosus hawaiiensis,GI,GI_3,Control (Seawater)
R1_42_A,Culture,F7_G_V_SW,F7,Kyphosus hawaiiensis,GI,GI_4,Mix_Seaweed
R1_43,Culture,F7_G_IV_SW,F7,Kyphosus hawaiiensis,GI,GI_3,Mix_Seaweed
R1_44,Culture,fish_7_G_VII_control,F7,Kyphosus hawaiiensis,HG,HG_2,Control (Seawater)
R1_45,Culture,F7_G_VI_SW,F7,Kyphosus hawaiiensis,HG,HG_1,Mix_Seaweed
R1_5,Culture,Fish_7_G_II_Control,F7,Kyphosus hawaiiensis,GI,GI_1,Control (Seawater)
R1_6_1,Culture,G_III_Cellulose,F7,Kyphosus hawaiiensis,GI,GI_2,Cellulose
R1_6_3,Culture,G_III_Cellulose,F7,Kyphosus hawaiiensis,GI,GI_2,Cellulose
R1_7_A,Culture,,NoFish,,,,
R1_8,Culture,G_I_NaAc,F7,Kyphosus hawaiiensis,ST,ST,NaAc
R2_1,Culture,G I_Sargassum_Day 1,F1,Kyphosus cinerascens,ST,ST,Sargassum
R2_10,Culture,G II_Gracilaria_Day 2,F7,Kyphosus hawaiiensis,GI,GI_1,Gracilaria
R2_11,Culture,G II_Ulva_Day 2,F7,Kyphosus hawaiiensis,GI,GI_1,Ulva
R2_12,Culture,G II_Sargassum_Day 2,F7,Kyphosus hawaiiensis,GI,GI_1,Sargassum
