"","Gut_SubSection","bray curtis distance to centroid","se"
"1","ST",0.451989333440129,0.0351767736769947
"2","GI_1",0.302010373608578,0.0265576110487854
"3","GI_2",0.309806220168689,0.0142115208628893
"4","GI_3",0.251938777669966,0.0349520641977306
"5","GI_4",0.387257299535431,0.0175821309796302
"6","HG_1",0.451424664823272,0.0327605618360029
"7","HG_2",0.449880910116304,0.0161392938419903
"8","HG_3",0.463348620842345,0.0109464937726389
