OTU,Abundance,Gut_Subsection
Otu00148,0.000444,GI_4
Otu00148,0.002492,HG_1
Otu00148,0.00214,HG_2
Otu00148,0.002396,HG_3
Otu00151,0.00028,GI_1
Otu00151,0,GI_2
Otu00151,1.60E-05,GI_3
Otu00151,0.000112,GI_4
Otu00151,0.001768,HG_1
Otu00151,0.00156,HG_2
Otu00151,0.001376,HG_3
Otu00156,5.00E-05,GI_1
Otu00156,1.50E-05,GI_2
Otu00156,8.00E-05,GI_3
Otu00156,0.000572,GI_4
Otu00156,0.00876,HG_1
Otu00156,0.008036,HG_2
Otu00156,0.007116,HG_3
Otu00169,0.002015,GI_1
Otu00169,0.011585,GI_2
Otu00169,0.017188,GI_3
Otu00169,0.005616,GI_4
Otu00169,6.00E-05,HG_1
Otu00169,2.40E-05,HG_2
Otu00169,0,HG_3
Otu00199,0,GI_1
Otu00199,0,GI_2
Otu00199,0,GI_3
Otu00199,7.60E-05,GI_4
Otu00199,0.00078,HG_1
Otu00199,0.002684,HG_2
Otu00199,0.001748,HG_3
Otu00224,0,GI_1
Otu00224,0.000415,GI_2
Otu00224,0.001688,GI_3
Otu00224,0.002012,GI_4
Otu00224,0.007044,HG_1
Otu00224,0.006464,HG_2
Otu00224,0.005592,HG_3
Otu00230,0.0042,GI_1
Otu00230,0.00951,GI_2
Otu00230,0.004616,GI_3
Otu00230,0.003688,GI_4
Otu00230,0.000432,HG_1
Otu00230,0.000452,HG_2
Otu00230,0.000596,HG_3
Otu00236,0.00032,GI_1
Otu00236,0.001075,GI_2
Otu00236,0,GI_3
Otu00236,2.80E-05,GI_4
Otu00236,2.40E-05,HG_1
Otu00236,2.00E-05,HG_2
Otu00236,0,HG_3
Otu00238,0.00034,GI_1
Otu00238,0.00095,GI_2
Otu00238,0.002164,GI_3
Otu00238,0.003624,GI_4
Otu00238,0.008824,HG_1
Otu00238,0.007992,HG_2
Otu00238,0.007448,HG_3
Otu00245,3.50E-05,GI_1
Otu00245,0,GI_2
Otu00245,0,GI_3
Otu00245,0.000152,GI_4
Otu00245,0.005984,HG_1
Otu00245,0.006336,HG_2
Otu00245,0.007576,HG_3
Otu00266,0,GI_1
Otu00266,0,GI_2
Otu00266,0,GI_3
Otu00266,0,GI_4
Otu00266,0,HG_1
Otu00266,1.60E-05,HG_2
Otu00266,0,HG_3
Otu00277,0.00033,GI_1
Otu00277,0.00286,GI_2
Otu00277,0.000616,GI_3
Otu00277,0.00018,GI_4
Otu00277,4.40E-05,HG_1
Otu00277,4.40E-05,HG_2
Otu00277,2.40E-05,HG_3
Otu00278,0.000295,GI_1
Otu00278,5.00E-06,GI_2
Otu00278,0.00012,GI_3
Otu00278,0.00086,GI_4
Otu00278,0.00188,HG_1
Otu00278,0.002084,HG_2
Otu00278,0.002628,HG_3
Otu00282,0.00036,GI_1
Otu00282,0,GI_2
Otu00282,0,GI_3
Otu00282,0,GI_4
Otu00282,0.001236,HG_1
Otu00282,0.001332,HG_2
Otu00282,0.002248,HG_3
Otu00339,0.00025,GI_1
Otu00339,0,GI_2
Otu00339,2.00E-05,GI_3
Otu00339,0.000516,GI_4
Otu00339,0.01,HG_1
Otu00339,0.008856,HG_2
Otu00339,0.008532,HG_3
Otu00352,0.000205,GI_1
Otu00352,0,GI_2
Otu00352,0.000164,GI_3
Otu00352,0.000928,GI_4
Otu00352,0.003028,HG_1
Otu00352,0.002824,HG_2
Otu00352,0.003384,HG_3
Otu00387,0.000475,GI_1
Otu00387,0.00339,GI_2
Otu00387,0.00406,GI_3
Otu00387,0.002984,GI_4
Otu00387,0.000412,HG_1
Otu00387,0.000456,HG_2
Otu00387,0.000296,HG_3
Otu00395,0,GI_1
Otu00395,0,GI_2
Otu00395,0,GI_3
Otu00395,0.000128,GI_4
Otu00395,0.001044,HG_1
Otu00395,0.001288,HG_2
Otu00395,0.00312,HG_3
Otu00396,0.015425,GI_1
Otu00396,0.00018,GI_2
Otu00396,2.00E-05,GI_3
Otu00396,1.60E-05,GI_4
Otu00396,4.00E-06,HG_1
Otu00396,2.80E-05,HG_2
Otu00396,2.80E-05,HG_3
Otu00417,0.00194,GI_1
Otu00417,0.00017,GI_2
Otu00417,0.0033,GI_3
Otu00417,0.002756,GI_4
Otu00417,0.004836,HG_1
Otu00417,0.001528,HG_2
Otu00417,0.001468,HG_3
Otu00461,0,GI_1
Otu00461,3.00E-05,GI_2
Otu00461,0.000336,GI_3
Otu00461,0.000664,GI_4
Otu00461,0.001348,HG_1
Otu00461,0.001328,HG_2
Otu00461,0.001244,HG_3
Otu00478,0.00029,GI_1
Otu00478,0.000445,GI_2
Otu00478,0.001896,GI_3
Otu00478,0.001696,GI_4
Otu00478,0.00444,HG_1
Otu00478,0.003456,HG_2
Otu00478,0.003624,HG_3
Otu00485,0,GI_1
Otu00485,0,GI_2
Otu00485,0,GI_3
Otu00485,0,GI_4
Otu00485,8.00E-06,HG_1
Otu00485,4.00E-06,HG_2
Otu00485,0,HG_3
Otu00497,0.000725,GI_1
Otu00497,0.001395,GI_2
Otu00497,0.000144,GI_3
Otu00497,0.000184,GI_4
Otu00497,1.20E-05,HG_1
