"","Gut_SubSection","distance_to_centroid","se"
"1","ST",0.311457094606931,0.0415357839286264
"2","GI_1",0.304260355382845,0.0521160982660504
"3","GI_2",0.280315150499082,0.0244717248408004
"4","GI_3",0.352709041243805,0.0510423445385192
"5","GI_4",0.323976087391222,0.0390014370658154
"6","HG_1",0.248199342403814,0.0350416577196139
"7","HG_2",0.266539461804332,0.0414835776641101
"8","HG_3",0.261334457682638,0.0407556823697057
